Cluster,ClusterLabel,Exemplar,Member,VariableType,Gene,Location,Measure,MeasureType,FeatureSet,MeanAbsSHAP,X,Y,Exemplar_X,Exemplar_Y
5,8,GenomicDensity_Housekeeping_brApA_Coding,GenomicDensity_ISG_NonBrUpU_Coding,GenomicDensity,ISG,Coding,NonBrUpU,Non-bridge dinucleotide bias,Similarity to ISGs,0.047372726818765545,0.1956830007657296,-0.005962619425133557,0.3281279711555316,-0.15408354934854723
1,5,GenomicDensity_ISG_NonBrUpC_Coding,GenomicDensity_ISG_NonBrUpC_Coding,GenomicDensity,ISG,Coding,NonBrUpC,Non-bridge dinucleotide bias,Similarity to ISGs,0.0474631622789725,0.05738285799003923,-0.1125445936731798,0.05738285799003923,-0.1125445936731798
31,11,GenomicDensity_Remaining_Y.Bias_Coding,VirusDirect_brUpU_Coding,VirusDirect,NA,Coding,brUpU,Bridge dinucleotide bias,Viral genomic features,0.04772568463424327,-0.14789774618774354,-6.804954324507274e-4,-0.5774018264358369,-0.16650464741773868
11,3,VirusDirect_TTA.Bias_Coding,GenomicDensity_ISG_brUpG_Coding,GenomicDensity,ISG,Coding,brUpG,Bridge dinucleotide bias,Similarity to ISGs,0.04776038319706983,0.34867920913954903,-0.1729747953708175,0.9250005656151968,0.023193330347532206
15,17,GenomicDensity_ISG_A.Bias_Coding,GenomicDensity_ISG_Q.Bias_Coding,GenomicDensity,ISG,Coding,Q.Bias,Amino acid bias,Similarity to ISGs,0.04808350169779289,0.2107284276992371,0.25458094860077296,0.2145096855416466,0.22630612745868903
24,13,GenomicDensity_ISG_brGpC_Coding,VirusDirect_brGpC_Coding,VirusDirect,NA,Coding,brGpC,Bridge dinucleotide bias,Viral genomic features,0.04839798131088887,0.06759627669135343,0.4789776101280622,-0.044942400540401044,0.40039113496147244
27,1,GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity_Housekeeping_GTT.Bias_Coding,GenomicDensity,Housekeeping,Coding,GTT.Bias,Codon bias,Similarity to housekeeping genes,0.04842173421561613,-0.552206468288073,-0.20572569157947118,-0.6217812981788006,-0.13096960315366163
15,17,GenomicDensity_ISG_A.Bias_Coding,GenomicDensity_Housekeeping_A.Bias_Coding,GenomicDensity,Housekeeping,Coding,A.Bias,Amino acid bias,Similarity to housekeeping genes,0.04907051320694289,0.04768509030698728,0.3448667992729113,0.2145096855416466,0.22630612745868903
9,23,VirusDirect_ApU_Coding,VirusDirect_ApU_Coding,VirusDirect,NA,Coding,ApU,Dinucleotide bias,Viral genomic features,0.04928538683890174,0.3185786980949764,-0.40814675511927523,0.3185786980949764,-0.40814675511927523
31,11,GenomicDensity_Remaining_Y.Bias_Coding,VirusDirect_W.Bias_Coding,VirusDirect,NA,Coding,W.Bias,Amino acid bias,Viral genomic features,0.050528653113648465,-0.23748344981192612,-0.09131681187988866,-0.5774018264358369,-0.16650464741773868
13,14,GenomicDensity_ISG_GAA.Bias_Coding,GenomicDensity_Housekeeping_GAA.Bias_Coding,GenomicDensity,Housekeeping,Coding,GAA.Bias,Codon bias,Similarity to housekeeping genes,0.05088640662767012,0.11952612278015771,-7.171780345780308e-4,-0.0132663362126608,-0.045514401342656156
30,18,GenomicDensity_ISG_NonBrApG_Coding,GenomicDensity_ISG_NonBrApG_Coding,GenomicDensity,ISG,Coding,NonBrApG,Non-bridge dinucleotide bias,Similarity to ISGs,0.05096238782864401,-0.4452354204688484,-0.19724792788560863,-0.4452354204688484,-0.19724792788560863
5,8,GenomicDensity_Housekeeping_brApA_Coding,GenomicDensity_ISG_ApA_Coding,GenomicDensity,ISG,Coding,ApA,Dinucleotide bias,Similarity to ISGs,0.051275809357335916,0.10284942385644999,0.14968199511891686,0.3281279711555316,-0.15408354934854723
5,8,GenomicDensity_Housekeeping_brApA_Coding,GenomicDensity_ISG_brUpU_Coding,GenomicDensity,ISG,Coding,brUpU,Bridge dinucleotide bias,Similarity to ISGs,0.05173155827155739,0.19512281105601897,-0.046511712232498066,0.3281279711555316,-0.15408354934854723
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_TAA.Bias_Coding,VirusDirect,NA,Coding,TAA.Bias,Codon bias,Viral genomic features,0.05211027480211961,0.3123857962932242,0.1291476160915005,0.9250005656151968,0.023193330347532206
26,21,GenomicDensity_Housekeeping_ACT.Bias_Coding,GenomicDensity_ISG_ACT.Bias_Coding,GenomicDensity,ISG,Coding,ACT.Bias,Codon bias,Similarity to ISGs,0.052151849515895445,-0.0545244752883195,-0.1395170307299274,-0.2376398118726975,-0.08000508948698004
21,25,GenomicDensity_Remaining_CGA.Bias_Coding,GenomicDensity_ISG_CGA.Bias_Coding,GenomicDensity,ISG,Coding,CGA.Bias,Codon bias,Similarity to ISGs,0.05226748633935966,0.008316119845989614,0.1548760709822522,0.0016125241496781077,0.14980917836319207
8,20,GenomicDensity_Remaining_NonBrGpU_Coding,GenomicDensity_Housekeeping_NonBrGpU_Coding,GenomicDensity,Housekeeping,Coding,NonBrGpU,Non-bridge dinucleotide bias,Similarity to housekeeping genes,0.052454601042685886,0.03519586194883862,-0.45231463065181343,0.0452127873927795,-0.5026403410882654
24,13,GenomicDensity_ISG_brGpC_Coding,GenomicDensity_ISG_brGpC_Coding,GenomicDensity,ISG,Coding,brGpC,Bridge dinucleotide bias,Similarity to ISGs,0.052651184200178364,-0.044942400540401044,0.40039113496147244,-0.044942400540401044,0.40039113496147244
30,18,GenomicDensity_ISG_NonBrApG_Coding,VirusDirect_ApG_Coding,VirusDirect,NA,Coding,ApG,Dinucleotide bias,Viral genomic features,0.05308216313942249,0.17722785986337372,-0.26420890279722387,-0.4452354204688484,-0.19724792788560863
4,7,VirusDirect_TCT.Bias_Coding,VirusDirect_NonBrCpU_Coding,VirusDirect,NA,Coding,NonBrCpU,Non-bridge dinucleotide bias,Viral genomic features,0.05315245890281774,0.24247548293023272,-0.031264628755871035,0.5463424499932296,0.20842649416966594
31,11,GenomicDensity_Remaining_Y.Bias_Coding,GenomicDensity_ISG_Y.Bias_Coding,GenomicDensity,ISG,Coding,Y.Bias,Amino acid bias,Similarity to ISGs,0.05368216109064671,-0.5712158313687136,-0.1645435425722671,-0.5774018264358369,-0.16650464741773868
22,2,GenomicDensity_Remaining_brUpC_Coding,VirusDirect_C.Bias_Coding,VirusDirect,NA,Coding,C.Bias,Amino acid bias,Viral genomic features,0.05398726957098473,0.06038905155577769,0.4708971432769656,-0.3140806280615704,0.5489446486673487
19,28,GenomicDensity_Remaining_H.Bias_Coding,GenomicDensity_Remaining_H.Bias_Coding,GenomicDensity,Remaining,Coding,H.Bias,Amino acid bias,Similarity to remaining genes,0.05457860608924007,0.03920264397147911,-0.10949044328893554,0.03920264397147911,-0.10949044328893554
22,2,GenomicDensity_Remaining_brUpC_Coding,VirusDirect_T.Bias_Coding,VirusDirect,NA,Coding,T.Bias,Amino acid bias,Viral genomic features,0.054766966000707955,-0.13090374848072395,0.5363682195557351,-0.3140806280615704,0.5489446486673487
16,24,GenomicDensity_Housekeeping_S.Bias_Coding,GenomicDensity_ISG_S.Bias_Coding,GenomicDensity,ISG,Coding,S.Bias,Amino acid bias,Similarity to ISGs,0.05502978636044014,0.2280675541817966,0.4538094333952083,0.0157678740326995,0.5204859511046404
10,15,VirusDirect_GpA_EntireSeq,GenomicDensity_ISG_C.Bias_Coding,GenomicDensity,ISG,Coding,C.Bias,Amino acid bias,Similarity to ISGs,0.05659079358316548,-0.008583577740657475,-0.3841596589502057,0.04172711137428887,-0.6755972442999051
24,13,GenomicDensity_ISG_brGpC_Coding,GenomicDensity_ISG_GpC_EntireSeq,GenomicDensity,ISG,EntireSeq,GpC,Dinucleotide bias,Similarity to ISGs,0.056981844871100605,-0.1580668067344319,0.4201335574808141,-0.044942400540401044,0.40039113496147244
10,15,VirusDirect_GpA_EntireSeq,VirusDirect_M.Bias_Coding,VirusDirect,NA,Coding,M.Bias,Amino acid bias,Viral genomic features,0.05781778208758464,0.285329110716927,-0.36260006340638073,0.04172711137428887,-0.6755972442999051
5,8,GenomicDensity_Housekeeping_brApA_Coding,GenomicDensity_Housekeeping_brApA_Coding,GenomicDensity,Housekeeping,Coding,brApA,Bridge dinucleotide bias,Similarity to housekeeping genes,0.0590954191694448,0.3281279711555316,-0.15408354934854723,0.3281279711555316,-0.15408354934854723
7,12,GenomicDensity_ISG_CTT.Bias_Coding,VirusDirect_CTA.Bias_Coding,VirusDirect,NA,Coding,CTA.Bias,Codon bias,Viral genomic features,0.05986945118260501,0.3435534329581914,-0.18121148314317295,0.06201124745837221,-0.35575373665544124
26,21,GenomicDensity_Housekeeping_ACT.Bias_Coding,GenomicDensity_Remaining_ACT.Bias_Coding,GenomicDensity,Remaining,Coding,ACT.Bias,Codon bias,Similarity to remaining genes,0.05996958796123612,-0.31737540804232744,-0.08932240324492409,-0.2376398118726975,-0.08000508948698004
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_I.Bias_Coding,VirusDirect,NA,Coding,I.Bias,Amino acid bias,Viral genomic features,0.06016376740041111,0.7913913609503064,-0.3566018278904527,0.9250005656151968,0.023193330347532206
17,22,GenomicDensity_Housekeeping_NonBrApU_Coding,GenomicDensity_ISG_NonBrApU_Coding,GenomicDensity,ISG,Coding,NonBrApU,Non-bridge dinucleotide bias,Similarity to ISGs,0.06051038597502058,0.11238340849668892,0.3521597718600085,0.14795727262490838,0.23427896784141955
14,9,GenomicDensity_Housekeeping_G.Bias_Coding,VirusDirect_TGA.Bias_Coding,VirusDirect,NA,Coding,TGA.Bias,Codon bias,Viral genomic features,0.0612226005523918,-0.11944499101356648,-0.044714839562932096,0.08854500000861532,-0.03712071627624907
22,2,GenomicDensity_Remaining_brUpC_Coding,GenomicDensity_Housekeeping_brUpC_Coding,GenomicDensity,Housekeeping,Coding,brUpC,Bridge dinucleotide bias,Similarity to housekeeping genes,0.061379021303203114,0.00218785116452839,0.27297896761550633,-0.3140806280615704,0.5489446486673487
28,4,VirusDirect_CCC.Bias_Coding,GenomicDensity_Housekeeping_CCC.Bias_Coding,GenomicDensity,Housekeeping,Coding,CCC.Bias,Codon bias,Similarity to housekeeping genes,0.06225500972275374,-0.3933202894238986,-0.02638429300272161,-0.7386986733944589,0.03461141848358595
4,7,VirusDirect_TCT.Bias_Coding,VirusDirect_TCT.Bias_Coding,VirusDirect,NA,Coding,TCT.Bias,Codon bias,Viral genomic features,0.06345693027198798,0.5463424499932296,0.20842649416966594,0.5463424499932296,0.20842649416966594
18,6,GenomicDensity_Housekeeping_CpC_Coding,GenomicDensity_Housekeeping_brCpC_Coding,GenomicDensity,Housekeeping,Coding,brCpC,Bridge dinucleotide bias,Similarity to housekeeping genes,0.06739624559613004,-0.056785724712188415,-0.17855910343478204,0.015999382065302922,-0.17100822005597469
12,16,GenomicDensity_Housekeeping_CGC.Bias_Coding,GenomicDensity_Housekeeping_brApG_Coding,GenomicDensity,Housekeeping,Coding,brApG,Bridge dinucleotide bias,Similarity to housekeeping genes,0.06757944494727403,0.4563185970834094,-0.10656734889261044,0.43222733085027026,-0.1574879613665219
12,16,GenomicDensity_Housekeeping_CGC.Bias_Coding,GenomicDensity_Housekeeping_CGC.Bias_Coding,GenomicDensity,Housekeeping,Coding,CGC.Bias,Codon bias,Similarity to housekeeping genes,0.0689833475298393,0.43222733085027026,-0.1574879613665219,0.43222733085027026,-0.1574879613665219
29,10,VirusDirect_GCG.Bias_Coding,VirusDirect_R.Bias_Coding,VirusDirect,NA,Coding,R.Bias,Amino acid bias,Viral genomic features,0.06902719067040655,-0.5964791500072452,-0.21515526717845734,-0.5990956279148865,0.10006208161363725
4,7,VirusDirect_TCT.Bias_Coding,VirusDirect_S.Bias_Coding,VirusDirect,NA,Coding,S.Bias,Amino acid bias,Viral genomic features,0.0690658942303566,0.25955283093103587,-0.24262440306447705,0.5463424499932296,0.20842649416966594
9,23,VirusDirect_ApU_Coding,VirusDirect_brApU_Coding,VirusDirect,NA,Coding,brApU,Bridge dinucleotide bias,Viral genomic features,0.06977490478563253,0.33664500267463526,-0.4196173199192185,0.3185786980949764,-0.40814675511927523
27,1,GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity_Housekeeping_AGC.Bias_Coding,GenomicDensity,Housekeeping,Coding,AGC.Bias,Codon bias,Similarity to housekeeping genes,0.07089044220113837,-0.23493402207135639,-0.0689485292589443,-0.6217812981788006,-0.13096960315366163
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_TTA.Bias_Coding,VirusDirect,NA,Coding,TTA.Bias,Codon bias,Viral genomic features,0.07091422958448083,0.9250005656151968,0.023193330347532206,0.9250005656151968,0.023193330347532206
2,30,GenomicDensity_Remaining_ATT.Bias_Coding,GenomicDensity_Remaining_ATT.Bias_Coding,GenomicDensity,Remaining,Coding,ATT.Bias,Codon bias,Similarity to remaining genes,0.07157443848700343,0.24340781863853148,0.008073603952204586,0.24340781863853148,0.008073603952204586
14,9,GenomicDensity_Housekeeping_G.Bias_Coding,GenomicDensity_Housekeeping_G.Bias_Coding,GenomicDensity,Housekeeping,Coding,G.Bias,Amino acid bias,Similarity to housekeeping genes,0.07159891856184428,0.08854500000861532,-0.03712071627624907,0.08854500000861532,-0.03712071627624907
10,15,VirusDirect_GpA_EntireSeq,VirusDirect_brGpA_Coding,VirusDirect,NA,Coding,brGpA,Bridge dinucleotide bias,Viral genomic features,0.0734202530414832,-0.4573304920121268,-0.5178703864483304,0.04172711137428887,-0.6755972442999051
18,6,GenomicDensity_Housekeeping_CpC_Coding,GenomicDensity_ISG_CpC_Coding,GenomicDensity,ISG,Coding,CpC,Dinucleotide bias,Similarity to ISGs,0.0738607443244269,0.011601680098693208,-0.1701887977264266,0.015999382065302922,-0.17100822005597469
24,13,GenomicDensity_ISG_brGpC_Coding,VirusDirect_NonBrGpC_Coding,VirusDirect,NA,Coding,NonBrGpC,Non-bridge dinucleotide bias,Viral genomic features,0.07404498128864798,0.2574030836827954,0.7607589156154869,-0.044942400540401044,0.40039113496147244
5,8,GenomicDensity_Housekeeping_brApA_Coding,GenomicDensity_ISG_brApA_Coding,GenomicDensity,ISG,Coding,brApA,Bridge dinucleotide bias,Similarity to ISGs,0.07448465749895208,0.31999998462387963,-0.17968579408501958,0.3281279711555316,-0.15408354934854723
6,19,GenomicDensity_ISG_E.Bias_Coding,GenomicDensity_ISG_E.Bias_Coding,GenomicDensity,ISG,Coding,E.Bias,Amino acid bias,Similarity to ISGs,0.07491373742858946,0.2032216174170656,-0.40734914257558824,0.2032216174170656,-0.40734914257558824
6,19,GenomicDensity_ISG_E.Bias_Coding,GenomicDensity_Remaining_E.Bias_Coding,GenomicDensity,Remaining,Coding,E.Bias,Amino acid bias,Similarity to remaining genes,0.075278197094158,0.1774978736053112,-0.36653495799087404,0.2032216174170656,-0.40734914257558824
15,17,GenomicDensity_ISG_A.Bias_Coding,GenomicDensity_ISG_K.Bias_Coding,GenomicDensity,ISG,Coding,K.Bias,Amino acid bias,Similarity to ISGs,0.076159191820162,0.0190175867685352,0.12389557607791186,0.2145096855416466,0.22630612745868903
28,4,VirusDirect_CCC.Bias_Coding,VirusDirect_brGpG_Coding,VirusDirect,NA,Coding,brGpG,Bridge dinucleotide bias,Viral genomic features,0.07616139621487462,-0.29296449381104583,-0.1781372904887643,-0.7386986733944589,0.03461141848358595
28,4,VirusDirect_CCC.Bias_Coding,VirusDirect_CCC.Bias_Coding,VirusDirect,NA,Coding,CCC.Bias,Codon bias,Viral genomic features,0.07621828929678713,-0.7386986733944589,0.03461141848358595,-0.7386986733944589,0.03461141848358595
27,1,GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity_Housekeeping_TAC.Bias_Coding,GenomicDensity,Housekeeping,Coding,TAC.Bias,Codon bias,Similarity to housekeeping genes,0.0777395688331896,-0.07469430765423025,-0.15587438290266012,-0.6217812981788006,-0.13096960315366163
28,4,VirusDirect_CCC.Bias_Coding,VirusDirect_NonBrApA_Coding,VirusDirect,NA,Coding,NonBrApA,Non-bridge dinucleotide bias,Viral genomic features,0.07869184074435058,-0.4404535110529889,0.5340469745456617,-0.7386986733944589,0.03461141848358595
