Name,Family,GenomeType,host_class,host_order,calibrated_score_mean,calibrated_score_lower,calibrated_score_upper,bagged_prediction,zoonotic_potential
Tai Forest hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Artiodactyla,0.24291858429393634,0.12281745184734624,0.38578925526659247,FALSE,Medium
Capuchin monkey hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Primates,0.26271270468791696,0.1320030041996807,0.46034205370745507,FALSE,Medium
Woolly monkey hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Primates,0.20429799764900972,0.07548044080627622,0.3469110498149612,FALSE,Medium
Long-fingered bat hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Chiroptera,0.20436935177834165,0.09634213996213378,0.368734231873291,FALSE,Medium
Pomona bat hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Chiroptera,0.3059162826067099,0.14738704224515806,0.5042431761098094,TRUE,High
Roundleaf bat hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Chiroptera,0.23806022081257083,0.09647766671575753,0.4273314751234266,FALSE,Medium
Tent-making bat hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Chiroptera,0.24660514977174972,0.12696117651156041,0.3797274310055703,FALSE,Medium
Sorex araneus coronavirus T14,Coronaviridae,ssRNA(+),Mammalia,Eulipotyphla,0.4722522456544409,0.21368838901053366,0.7787634285964273,TRUE,High
Duck coronavirus 2714,Coronaviridae,ssRNA(+),Aves,Anseriformes,0.2492201116226844,0.13713630035836732,0.39947116373773456,FALSE,Medium
Goose coronavirus CB17,Coronaviridae,ssRNA(+),Aves,Anseriformes,0.23602292569099675,0.13526259359952622,0.3420479759561382,FALSE,Medium
Avian coronavirus 9203,Coronaviridae,ssRNA(+),Aves,Galliformes,0.2341755173553707,0.12309978778170234,0.36765449027307684,FALSE,Medium
China Rattus coronavirus HKU24,Coronaviridae,ssRNA(+),Mammalia,Rodentia,0.23933126053470996,0.1251134348138993,0.40677891741405775,FALSE,Medium
Lucheng Rn rat coronavirus,Coronaviridae,ssRNA(+),Mammalia,Rodentia,0.13353942443951197,0.07008079180943444,0.24322669019257342,FALSE,Low
Myodes coronavirus 2JL14,Coronaviridae,ssRNA(+),Mammalia,Rodentia,0.21675151385062263,0.11127196133561557,0.3332716743818669,FALSE,Medium
Bat Hp-betacoronavirus Zhejiang2013,Coronaviridae,ssRNA(+),Mammalia,Chiroptera,0.21650558897555008,0.11000912586680361,0.3463248513593582,FALSE,Medium
Eidolon bat coronavirus C704,Coronaviridae,ssRNA(+),Mammalia,Chiroptera,0.18433704522528913,0.08935213886309273,0.3289806375614177,FALSE,Medium
Myotis ricketti alphacoronavirus Sax-2011,Coronaviridae,ssRNA(+),Mammalia,Chiroptera,0.15586775230098235,0.08299480477141857,0.24551066033089136,FALSE,Low
NL63-related bat coronavirus strain BtKYNL63-9b,Coronaviridae,ssRNA(+),Mammalia,Chiroptera,0.11785928463862912,0.0633657292847043,0.18711690786239266,FALSE,Low
Nyctalus velutinus alphacoronavirus SC-2013,Coronaviridae,ssRNA(+),Mammalia,Chiroptera,0.1306852523622063,0.07894354181286489,0.20505597985415464,FALSE,Low
Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Coronaviridae,ssRNA(+),Mammalia,Chiroptera,0.2730097739953462,0.1355120521049953,0.4575110259726816,FALSE,Medium
Rousettus bat coronavirus GCCDC1,Coronaviridae,ssRNA(+),Mammalia,Chiroptera,0.17342710822981044,0.09403181144034746,0.27408178529407656,FALSE,Low
Flamingopox virus,Poxviridae,dsDNA,Aves,Phoenicopteriformes,0.2382686596393857,0.15682208986954818,0.3904062568690928,FALSE,Medium
Eastern kangaroopox virus,Poxviridae,dsDNA,Mammalia,Diprotodontia,0.35969004135171456,0.18195512635669614,0.6029808559607831,TRUE,High
Tupaia narmovirus,Paramyxoviridae,ssRNA(-),Mammalia,Scandentia,0.33686897008434313,0.16741489533082332,0.5323867905088455,TRUE,High
Western kangaroopox virus,Poxviridae,dsDNA,Mammalia,Diprotodontia,0.34901171658732727,0.17442969921129986,0.6661700746326406,TRUE,High
Avian metaavulavirus 20,Paramyxoviridae,ssRNA(-),Aves,Charadriiformes,0.2287312461206238,0.08664577337301724,0.4102607693483433,FALSE,Medium
Pigeonpox virus,Poxviridae,dsDNA,Aves,Columbiformes,0.21761718823325316,0.12680118925566783,0.3593007449179955,FALSE,Medium
Penguinpox virus,Poxviridae,dsDNA,Aves,Sphenisciformes,0.2227035790907496,0.1380621448471357,0.3750430800903361,FALSE,Medium
Salem salemvirus,Paramyxoviridae,ssRNA(-),Mammalia,Perissodactyla,0.23092746184611967,0.10626567347864205,0.41389441777176167,FALSE,Medium
Avian metaavulavirus 14,Paramyxoviridae,ssRNA(-),Aves,Anseriformes,0.2840874832966975,0.13993922036041034,0.455849310175069,FALSE,Medium
Avian orthoavulavirus 16,Paramyxoviridae,ssRNA(-),Aves,Anseriformes,0.2978231802378491,0.14926299661670855,0.5186157310168378,TRUE,High
Island sawgrhavirus,Rhabdoviridae,ssRNA(-),Arachnida,Ixodida,0.2560135575852982,0.11837700157988262,0.47304032211295355,FALSE,Medium
Sawgrass sawgrhavirus,Rhabdoviridae,ssRNA(-),Arachnida,Ixodida,0.23132589670877737,0.12227475192903933,0.40329375581584676,FALSE,Medium
Zahedan zarhavirus,Rhabdoviridae,ssRNA(-),Arachnida,Ixodida,0.23428711904139937,0.11868690773116682,0.38647940539970593,FALSE,Medium
Canarypox virus,Poxviridae,dsDNA,Aves,Passeriformes,0.2089182758583008,0.128591264392994,0.32039036015719496,FALSE,Medium
Avian orthoavulavirus 21,Paramyxoviridae,ssRNA(-),Aves,NA,0.14465994790200662,0.05954390150546296,0.26069486094491956,FALSE,Low
Beilong jeilongvirus,Paramyxoviridae,ssRNA(-),NA,NA,0.25039002698807794,0.1201731983557086,0.431735989924774,FALSE,Medium
Fowlpox virus,Poxviridae,dsDNA,Aves,Galliformes,0.23673484284531224,0.13612565760499795,0.3764156256351262,FALSE,Medium
Sunguru sunrhavirus,Rhabdoviridae,ssRNA(-),Aves,Galliformes,0.37870742842069055,0.17954435323535622,0.6182050697626796,TRUE,High
Turkeypox virus,Poxviridae,dsDNA,Aves,Galliformes,0.2367142998081308,0.12836424981687533,0.4095603449216677,FALSE,Medium
Grey sealpox virus,Poxviridae,dsDNA,Mammalia,Carnivora,0.15605844996614157,0.08550008829268824,0.24688690541815614,FALSE,Low
Sea otterpox virus,Poxviridae,dsDNA,Mammalia,Carnivora,0.22490375119863343,0.11005911530785562,0.383816995774124,FALSE,Medium
Skunkpox virus,Poxviridae,dsDNA,Mammalia,Carnivora,0.27470384478601734,0.15890518331374975,0.4852837499981243,FALSE,Medium
Caprine respirovirus 3,Paramyxoviridae,ssRNA(-),Mammalia,Artiodactyla,0.22511985493905015,0.09992056752461038,0.3595527800112743,FALSE,Medium
Mule deerpox virus,Poxviridae,dsDNA,Mammalia,Artiodactyla,0.2214137064732961,0.12351380106115681,0.401299414986013,FALSE,Medium
Abatino macacapox virus,Poxviridae,dsDNA,Mammalia,Primates,0.330752431803215,0.19116468512000237,0.50869617420894,TRUE,High
Bahia barhavirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.20713579119087216,0.11585251688630008,0.33865170298070607,FALSE,Medium
Balsa almendravirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.16197828154690974,0.08294118380941445,0.271526786518619,FALSE,Low
Beatrice Hill tibrovirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.10169632137415001,0.045340498167195806,0.17688963041573053,FALSE,Low
Coot Bay almendravirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.16618072534686515,0.08794087167715264,0.28030038942953955,FALSE,Low
Holmes hapavirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.05831032386888426,0.016274025414978965,0.14594867318417568,FALSE,Low
Inhangapi arurhavirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.1627315398387437,0.07293574368029171,0.29322480508880333,FALSE,Medium
Menghai almendravirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.09429049773955626,0.034276074634639414,0.1705229365479169,FALSE,Low
Muir barhavirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.30228003555781335,0.1443368229054277,0.5381629374693156,TRUE,High
Oakvale sunrhavirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.20854888040795044,0.10451395736863696,0.3987360321160598,FALSE,Medium
Rio Chico almendravirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.1642200047091877,0.08707259781053246,0.271526786518619,FALSE,Low
Walkabout sunrhavirus,Rhabdoviridae,ssRNA(-),Insecta,Diptera,0.25441609852137553,0.12026753363457027,0.4631770677653516,FALSE,Medium
Yokapox virus,Poxviridae,dsDNA,Insecta,Diptera,0.300432160130291,0.16029127065528023,0.4851290575394419,TRUE,High
Cotia virus,Poxviridae,dsDNA,Mammalia,Rodentia,0.2679879894520585,0.14742107557311893,0.4408220256800971,FALSE,Medium
Jun jeilongvirus,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.14406493457849215,0.06005756312654127,0.29247565573073087,FALSE,Low
Lophuromys jeilongvirus 1,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.24784032591020116,0.1119139656332507,0.44775064092005423,FALSE,Medium
Lophuromys jeilongvirus 2,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.22237972280053858,0.10265224948623591,0.3872343290553423,FALSE,Medium
Mossman narmovirus,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.27381158222255697,0.14484563086357746,0.4351509564150458,FALSE,Medium
Murmansk microtuspox virus,Poxviridae,dsDNA,Mammalia,Rodentia,0.31384715780505346,0.177303343020617,0.4915856814678685,TRUE,High
Myodes jeilongvirus,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.1961468742719176,0.09740064424146917,0.3039378940728388,FALSE,Medium
Myodes narmovirus,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.232277966669293,0.10289789888838173,0.4142078411952631,FALSE,Medium
Nariva narmovirus,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.414675446024399,0.20599510473526628,0.7529689809231872,TRUE,High
Squirrel respirovirus,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.31539191378447107,0.18050153112873943,0.5464779128297119,TRUE,High
Tailam jeilongvirus,Paramyxoviridae,ssRNA(-),Mammalia,Rodentia,0.13794596238352302,0.0662455499740955,0.23186818204650694,FALSE,Low
Akhmeta virus,Poxviridae,dsDNA,Mammalia,Primates,0.4109649766729499,0.18744703770761728,0.6485500572126975,TRUE,High
Eptesipox virus,Poxviridae,dsDNA,Mammalia,Chiroptera,0.29481304235974065,0.15056733495094615,0.5451908849048959,TRUE,High
Gannoruwa bat lyssavirus,Rhabdoviridae,ssRNA(-),Mammalia,Chiroptera,0.7218050100042843,0.4353378607614979,0.9093454878927633,TRUE,Very high
Hervey pararubulavirus,Paramyxoviridae,ssRNA(-),Mammalia,Chiroptera,0.16978240204662354,0.089957614022528,0.2951279043855219,FALSE,Medium
Lleida bat lyssavirus,Rhabdoviridae,ssRNA(-),Mammalia,Chiroptera,0.44538275393098864,0.23165302327843568,0.6542880337446313,TRUE,High
Mammalian orthorubulavirus 6,Paramyxoviridae,ssRNA(-),Mammalia,Chiroptera,0.43061073736325584,0.21580558514408937,0.725362984979333,TRUE,High
Pteropox virus,Poxviridae,dsDNA,Mammalia,Chiroptera,0.20269785737790105,0.12052200722112992,0.3499602169528261,FALSE,Medium
Taiwan bat lyssavirus,Rhabdoviridae,ssRNA(-),Mammalia,Chiroptera,0.767473418823926,0.5336751790490759,0.9233313547022235,TRUE,Very high
Vaprio ledantevirus,Rhabdoviridae,ssRNA(-),Mammalia,Chiroptera,0.2408117652684062,0.12717886049771174,0.41732642930401903,FALSE,Medium
Gruiform aveparvovirus 1,Parvoviridae,ssDNA,Aves,Gruiformes,0.31662758687951825,0.17045544411533042,0.48217649554956754,TRUE,High
Ungulate copiparvovirus 6,Parvoviridae,ssDNA,Mammalia,Perissodactyla,0.39252163441015725,0.20934014987473454,0.6293076695619132,TRUE,High
Anseriform dependoparvovirus 1,Parvoviridae,ssDNA,Aves,Anseriformes,0.41206417482282953,0.24625558947061926,0.6162633930642845,TRUE,High
Ungulate copiparvovirus 3,Parvoviridae,ssDNA,Arachnida,Ixodida,0.36051338134995065,0.20942667977885243,0.5724939357093684,TRUE,High
Avian dependoparvovirus 1,Parvoviridae,ssDNA,Aves,Galliformes,0.37131844784884743,0.1734448206848868,0.6838235285310427,TRUE,High
Galliform aveparvovirus 1,Parvoviridae,ssDNA,Aves,Galliformes,0.4416670492503369,0.2879720303400515,0.64877601972418,TRUE,High
Carnivore amdoparvovirus 3,Parvoviridae,ssDNA,Mammalia,Carnivora,0.3089395267578024,0.16386226410993887,0.5953335440969019,TRUE,High
Carnivore amdoparvovirus 5,Parvoviridae,ssDNA,Mammalia,Carnivora,0.2380160433366794,0.1468651804267414,0.38932581290850965,FALSE,Medium
Carnivore bocaparvovirus 2,Parvoviridae,ssDNA,Mammalia,Carnivora,0.25078243442885867,0.11291236011137326,0.42765935457460436,FALSE,Medium
Carnivore bocaparvovirus 3,Parvoviridae,ssDNA,Mammalia,Carnivora,0.265412663816057,0.12349863980325052,0.457365168382062,FALSE,Medium
Carnivore protoparvovirus,Parvoviridae,ssDNA,Mammalia,Carnivora,0.2633403186679166,0.13697863511335506,0.39400708576040927,FALSE,Medium
Pinniped copiparvovirus 1,Parvoviridae,ssDNA,Mammalia,Carnivora,0.25295803346880197,0.13095226679403962,0.4403853680748899,FALSE,Medium
Pinniped erythroparvovirus 1,Parvoviridae,ssDNA,Mammalia,Carnivora,0.4304826911887249,0.20353752042040366,0.6657485868482544,TRUE,High
Ungulate bocaparvovirus 7,Parvoviridae,ssDNA,Mammalia,Artiodactyla,0.2832583819850982,0.14819605441818454,0.4342675530585267,FALSE,Medium
Ungulate bocaparvovirus 8,Parvoviridae,ssDNA,Mammalia,Artiodactyla,0.2510906296424131,0.14217600451100965,0.36225009764236205,FALSE,Medium
Ungulate copiparvovirus 4,Parvoviridae,ssDNA,Mammalia,Artiodactyla,0.17487943336382955,0.06614973833378458,0.3612200428039044,FALSE,Medium
Ungulate copiparvovirus 5,Parvoviridae,ssDNA,Mammalia,Artiodactyla,0.4266702674409399,0.23981515997497277,0.6815871362981551,TRUE,High
Primate loriparvovirus 1,Parvoviridae,ssDNA,Mammalia,Primates,0.28721608379998265,0.15148660504509184,0.4892783164399433,FALSE,Medium
Dipteran brevihamaparvovirus 1,Parvoviridae,ssDNA,Insecta,Diptera,0.23850015926806603,0.1335541409287567,0.40497069313529666,FALSE,Medium
Dipteran brevihamaparvovirus 2,Parvoviridae,ssDNA,Insecta,Diptera,0.16279387749938135,0.07920922472624173,0.2843330781589527,FALSE,Low
Dipteran protoambidensovirus 1,Parvoviridae,ssDNA,Insecta,Diptera,0.2157086239752289,0.11247994783518836,0.40301412760164407,FALSE,Medium
Rodent bocaparvovirus 1,Parvoviridae,ssDNA,Mammalia,Rodentia,0.2508193172374132,0.1269338471140884,0.42188495407553694,FALSE,Medium
Rodent bocaparvovirus 2,Parvoviridae,ssDNA,Mammalia,Rodentia,0.3498533175756524,0.1731480849288587,0.5760014034075185,TRUE,High
Rodent chaphamaparvovirus 1,Parvoviridae,ssDNA,Mammalia,Rodentia,0.5692734361059492,0.3516946480382707,0.8852308461562247,TRUE,Very high
Rodent dependoparvovirus 1,Parvoviridae,ssDNA,Mammalia,Rodentia,0.2511516018820212,0.14230779242056,0.3993965640681902,FALSE,Medium
Rodent dependoparvovirus 2,Parvoviridae,ssDNA,Mammalia,Rodentia,0.2792166918300989,0.15274102659151478,0.5165766032943908,FALSE,Medium
Primate bocaparvovirus 1,Parvoviridae,ssDNA,Mammalia,Primates,0.16071029682604576,0.06239829667094439,0.3054123229246206,FALSE,Medium
Primate protoparvovirus 4,Parvoviridae,ssDNA,Mammalia,Primates,0.2526786846533385,0.14697201300910107,0.4142091606167363,FALSE,Medium
Chiropteran artiparvovirus 1,Parvoviridae,ssDNA,Mammalia,Chiroptera,0.29943607228368624,0.13771201071180517,0.5311545351251988,TRUE,High
Leporid alphaherpesvirus 4,Herpesviridae,dsDNA,Mammalia,Lagomorpha,0.35506845983866403,0.1741807635835277,0.5860744044746444,TRUE,High
Elephantid betaherpesvirus 1,Herpesviridae,dsDNA,Mammalia,Proboscidea,0.21320515364545345,0.095376407837167,0.3491601234436358,FALSE,Medium
Elephantid betaherpesvirus 4,Herpesviridae,dsDNA,Mammalia,Proboscidea,0.22461351002669552,0.12490052814469743,0.37732775257908413,FALSE,Medium
Elephantid betaherpesvirus 5,Herpesviridae,dsDNA,Mammalia,Proboscidea,0.21233742582953904,0.09182528709677329,0.3843720573276409,FALSE,Medium
Columbid alphaherpesvirus 1,Herpesviridae,dsDNA,Aves,Columbiformes,0.307604359055125,0.15726646032853742,0.463860461992464,TRUE,High
Spheniscid alphaherpesvirus 1,Herpesviridae,dsDNA,Aves,Sphenisciformes,0.1816007448872234,0.08450912832920103,0.29496956392758056,FALSE,Medium
Psittacid alphaherpesvirus 1,Herpesviridae,dsDNA,Aves,Psittaciformes,0.29234525303003306,0.14467530967471254,0.5926589843837688,FALSE,Medium
Anatid alphaherpesvirus 1,Herpesviridae,dsDNA,Aves,Anseriformes,0.24584942800951587,0.11342571234413668,0.42674115744990687,FALSE,Medium
Gallid alphaherpesvirus 1,Herpesviridae,dsDNA,Aves,Galliformes,0.22419103660134607,0.10546093711665731,0.4112094635722444,FALSE,Medium
Gallid alphaherpesvirus 2,Herpesviridae,dsDNA,Aves,Galliformes,0.3459182695729239,0.14689996083068757,0.6386761760557014,TRUE,High
Gallid alphaherpesvirus 3,Herpesviridae,dsDNA,Aves,Galliformes,0.15558420562732128,0.07801641245674218,0.2649642112702125,FALSE,Low
Meleagrid alphaherpesvirus 1,Herpesviridae,dsDNA,Aves,Galliformes,0.22259872402755235,0.11486423335864843,0.38396794311375504,FALSE,Medium
Felid gammaherpesvirus 1,Herpesviridae,dsDNA,Mammalia,Carnivora,0.25204174974792504,0.10872053845753317,0.4164426553592565,FALSE,Medium
Bovine gammaherpesvirus 6,Herpesviridae,dsDNA,Mammalia,Artiodactyla,0.1240871505302223,0.040807130743028455,0.2255336702897346,FALSE,Low
Monodontid alphaherpesvirus 1,Herpesviridae,dsDNA,Mammalia,Artiodactyla,0.2929594327342785,0.13670359967594653,0.5044765154403779,FALSE,Medium
Aotine betaherpesvirus 1,Herpesviridae,dsDNA,Mammalia,Primates,0.597358139895,0.3257538291258744,0.8708921914531206,TRUE,Very high
Macacine betaherpesvirus 8,Herpesviridae,dsDNA,Mammalia,Primates,0.19608164843588297,0.10592432049837106,0.32632754806867414,FALSE,Medium
Macacine betaherpesvirus 9,Herpesviridae,dsDNA,Mammalia,Primates,0.351521589948241,0.14560205816436497,0.5751545999022172,TRUE,High
Macacine gammaherpesvirus 10,Herpesviridae,dsDNA,Mammalia,Primates,0.27510529706316555,0.13780389095454967,0.5328835475577172,FALSE,Medium
Macacine gammaherpesvirus 11,Herpesviridae,dsDNA,Mammalia,Primates,0.2640703347387809,0.1336511983856874,0.43604478966087223,FALSE,Medium
Mandrilline betaherpesvirus 1,Herpesviridae,dsDNA,Mammalia,Primates,0.27275498356838407,0.1316433414323687,0.4714367214842837,FALSE,Medium
Panine alphaherpesvirus 3,Herpesviridae,dsDNA,Mammalia,Primates,0.618104688934565,0.30322468873334063,0.8550371776616166,TRUE,Very high
Papiine betaherpesvirus 4,Herpesviridae,dsDNA,Mammalia,Primates,0.3083491319374718,0.150299544811142,0.4982639422315843,TRUE,High
Saimiriine betaherpesvirus 4,Herpesviridae,dsDNA,Mammalia,Primates,0.26352685768569284,0.13301649303185067,0.4714858090568731,FALSE,Medium
Murid betaherpesvirus 3,Herpesviridae,dsDNA,Mammalia,Rodentia,0.2290175058746153,0.12368683113868742,0.34951685325134346,FALSE,Medium
Murid betaherpesvirus 8,Herpesviridae,dsDNA,Mammalia,Rodentia,0.24912082378359346,0.13517092292506744,0.35079482522928007,FALSE,Medium
Murid gammaherpesvirus 7,Herpesviridae,dsDNA,Mammalia,Rodentia,0.3122141912354473,0.1440396971992562,0.5385134745051889,TRUE,High
Human betaherpesvirus 6A,Herpesviridae,dsDNA,Mammalia,Primates,0.26813073034962914,0.1356867213868148,0.45693311042610907,FALSE,Medium
Human betaherpesvirus 6B,Herpesviridae,dsDNA,Mammalia,Primates,0.2303316982349712,0.11075289743266784,0.38740093396403036,FALSE,Medium
Pteropodid alphaherpesvirus 1,Herpesviridae,dsDNA,Mammalia,Chiroptera,0.2749482427581184,0.13615642761644098,0.47212902309250354,FALSE,Medium
