LatestSppName,InfectsHumans,Family,GenomeType,BroadGenomeType,Class
Bujaru phlebovirus,FALSE,Phenuiviridae,ssRNA(-),ssRNA,No human infections
Bundibugyo ebolavirus,TRUE,Filoviridae,ssRNA(-),ssRNA,Zoonotic
Bunyamwera orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Bwamba orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Cabassou virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Cacipacore virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
California encephalitis orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
California reptarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Callitrichine gammaherpesvirus 3,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Camelpox virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Candiru phlebovirus,TRUE,Phenuiviridae,ssRNA(-),ssRNA,Zoonotic
Canid alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Canine mastadenovirus A,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Canine morbillivirus,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Zoonotic
Cano Delgadito orthohantavirus,FALSE,Hantaviridae,ssRNA(-),ssRNA,No human infections
Caprine arthritis encephalitis virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Caraparu orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Cardiovirus A,TRUE,Picornaviridae,ssRNA(+),ssRNA,Zoonotic
Cardiovirus B,TRUE,Picornaviridae,ssRNA(+),ssRNA,Zoonotic
Carnivore amdoparvovirus 1,FALSE,Parvoviridae,ssDNA(+/-),ssDNA,No human infections
Carnivore bocaparvovirus 1,FALSE,Parvoviridae,ssDNA(+/-),ssDNA,No human infections
Carnivore protoparvovirus 1,FALSE,Parvoviridae,ssDNA(+/-),ssDNA,No human infections
Carp sprivivirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Catu orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Caviid betaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Cedar henipavirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Cercopithecine alphaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Cercopithecine alphaherpesvirus 9,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Cercopithecine betaherpesvirus 5,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Cervid alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Cervid alphaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Cetacean morbillivirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Chandipura vesiculovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Changuinola virus,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
Chapare mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Chikungunya virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Human virus
Chobar Gorge virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Pestivirus C,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Coastal Plains tibrovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Cocal vesiculovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Colorado tick fever virus,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
Common moorhen coronavirus HKU21,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Coronavirus HKU15,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Corriparta virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Cowpox virus,TRUE,Poxviridae,dsDNA,dsDNA,Zoonotic
Crimean-Congo hemorrhagic fever orthonairovirus,TRUE,Nairoviridae,ssRNA(-),ssRNA,Zoonotic
Cupixi mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Curionopolis curiovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Deltapapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Deltapapillomavirus 2,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Deltapapillomavirus 3,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Deltapapillomavirus 4,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Dengue virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Human virus
Dera Ghazi Khan orthonairovirus,FALSE,Nairoviridae,ssRNA(-),ssRNA,No human infections
Dhori thogotovirus,FALSE,Orthomyxoviridae,ssRNA(-),ssRNA,No human infections
Dobrava-Belgrade orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Drosophila melanogaster sigmavirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Drosophila obscura sigmavirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Aalivirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Dugbe orthonairovirus,TRUE,Nairoviridae,ssRNA(-),ssRNA,Zoonotic
Duvenhage lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Eastern equine encephalitis virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Ectromelia virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Eggplant mottled dwarf nucleorhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Eilat virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Entebbe bat virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Enterovirus A,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Enterovirus B,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Enterovirus C,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Enterovirus D,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Enterovirus G,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Enterovirus H,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Enterovirus I,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Epizootic hemorrhagic disease virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Epsilonpapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Equid alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Equid alphaherpesvirus 3,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Equid alphaherpesvirus 4,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Equid alphaherpesvirus 8,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Equid alphaherpesvirus 9,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Equid gammaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Equid gammaherpesvirus 5,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Alphaarterivirus equid,FALSE,Arteriviridae,ssRNA(+),ssRNA,No human infections
Equine encephalosis virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Equine foamy virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Equine infectious anemia virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Equine mastadenovirus A,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Equine mastadenovirus B,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Equine rhinitis A virus,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Equine torovirus,FALSE,Tobaniviridae,ssRNA(+),ssRNA,No human infections
Erbovirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Eubenangee virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
European bat 1 lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
European bat 2 lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
European brown hare syndrome virus,FALSE,Caliciviridae,ssRNA(+),ssRNA,No human infections
Everglades virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Eyach virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Felid alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Feline calicivirus,FALSE,Caliciviridae,ssRNA(+),ssRNA,No human infections
Feline foamy virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Feline immunodeficiency virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Feline leukemia virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Feline morbillivirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Ferak feravirus,FALSE,Phasmaviridae,ssRNA(-),ssRNA,No human infections
Fikirini ledantevirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Flexal mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Foot-and-mouth disease virus,TRUE,Picornaviridae,ssRNA(+),ssRNA,Zoonotic
Fort Morgan virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Gairo mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Gammapapillomavirus 1,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Gammapapillomavirus 2,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Gammapapillomavirus 3,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Gammapapillomavirus 4,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Gammapapillomavirus 5,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Getah virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Ghanaian bat henipavirus,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Gibbon ape leukemia virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Goatpox virus,FALSE,Poxviridae,dsDNA,dsDNA,No human infections
Golden reptarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Gouleako goukovirus,FALSE,Phenuiviridae,ssRNA(-),ssRNA,No human infections
Great Island virus,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
Ground squirrel hepatitis virus,FALSE,Hepadnaviridae,dsDNA-RT,dsDNA-RT,No human infections
Guama orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Guanarito mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Guaroa orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Hantaan orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Harkavirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Hedgehog coronavirus 1,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Hendra henipavirus,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Zoonotic
Hepacivirus C,TRUE,Flaviviridae,ssRNA(+),ssRNA,Human virus
Hepatitis B virus,TRUE,Hepadnaviridae,dsDNA-RT,dsDNA-RT,Human virus
Hepatovirus A,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Hepatovirus B,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Herbert herbevirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Highlands J virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Hirame novirhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Human alphaherpesvirus 1,TRUE,Herpesviridae,dsDNA,dsDNA,Human virus
Human alphaherpesvirus 2,TRUE,Herpesviridae,dsDNA,dsDNA,Human virus
Human alphaherpesvirus 3,TRUE,Herpesviridae,dsDNA,dsDNA,Human virus
Human betaherpesvirus 5,TRUE,Herpesviridae,dsDNA,dsDNA,Human virus
Human betaherpesvirus 7,TRUE,Herpesviridae,dsDNA,dsDNA,Human virus
Human coronavirus 229E,TRUE,Coronaviridae,ssRNA(+),ssRNA,Human virus
Human coronavirus HKU1,TRUE,Coronaviridae,ssRNA(+),ssRNA,Human virus
Human coronavirus NL63,TRUE,Coronaviridae,ssRNA(+),ssRNA,Human virus
Human gammaherpesvirus 4,TRUE,Herpesviridae,dsDNA,dsDNA,Human virus
Human gammaherpesvirus 8,TRUE,Herpesviridae,dsDNA,dsDNA,Human virus
Human immunodeficiency virus 1,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Human virus
Human immunodeficiency virus 2,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Human virus
Human mastadenovirus A,TRUE,Adenoviridae,dsDNA,dsDNA,Human virus
Human mastadenovirus B,TRUE,Adenoviridae,dsDNA,dsDNA,Human virus
Human mastadenovirus C,TRUE,Adenoviridae,dsDNA,dsDNA,Human virus
Human mastadenovirus D,TRUE,Adenoviridae,dsDNA,dsDNA,Human virus
Human mastadenovirus E,TRUE,Adenoviridae,dsDNA,dsDNA,Human virus
Human mastadenovirus F,TRUE,Adenoviridae,dsDNA,dsDNA,Human virus
Human metapneumovirus,TRUE,Pneumoviridae,ssRNA(-),ssRNA,Human virus
Human orthopneumovirus,TRUE,Pneumoviridae,ssRNA(-),ssRNA,Human virus
Human picobirnavirus,TRUE,Picobirnaviridae,dsRNA,dsRNA,Zoonotic
Human polyomavirus 1,TRUE,Polyomaviridae,dsDNA,dsDNA,Human virus
Human polyomavirus 2,TRUE,Polyomaviridae,dsDNA,dsDNA,Human virus
Human respirovirus 1,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Human virus
Human respirovirus 3,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Human virus
Human orthorubulavirus 2,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Human virus
Human orthorubulavirus 4,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Human virus
Ikoma lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Ilheus virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Indiana vesiculovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Influenza A virus,TRUE,Orthomyxoviridae,ssRNA(-),ssRNA,Human virus
Influenza B virus,TRUE,Orthomyxoviridae,ssRNA(-),ssRNA,Human virus
Influenza C virus,TRUE,Orthomyxoviridae,ssRNA(-),ssRNA,Human virus
Iotapapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Ippy mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Irkut lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Isfahan vesiculovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Jaagsiekte sheep retrovirus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Japanese encephalitis virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Jonchet jonvirus,FALSE,Phasmaviridae,ssRNA(-),ssRNA,No human infections
Jugra virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Argentinian mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Jurona vesiculovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Jutiapa virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Kaeng Khoi orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Kairi orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Kappapapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Kappapapillomavirus 2,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Kasokero orthonairovirus,TRUE,Nairoviridae,ssRNA(-),ssRNA,Zoonotic
Kedougou virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Kern Canyon ledantevirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Keuraliba ledantevirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Khabarovsk orthohantavirus,FALSE,Hantaviridae,ssRNA(-),ssRNA,No human infections
Khujand lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Kimberley ephemerovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Kokobera virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Kolente ledantevirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Koongol orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Kotonkan ephemerovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Koutango virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Kyasanur Forest disease virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Gammaarterivirus lacdeh,FALSE,Arteriviridae,ssRNA(+),ssRNA,No human infections
Lagos bat lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Lambdapapillomavirus 1,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Lambdapapillomavirus 2,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Langat virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Lassa mammarenavirus,TRUE,Arenaviridae,ssRNA(+/-),ssRNA,Zoonotic
Latino mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
