"UniversalName","Strain","VectorBorne","Vector","OtherTaxonomicInfo","Reference_Reservoir","Reference_Vector","LatestSppName","HumanOnly","IndirectDetectionOnly","Reference","DataSource","Reservoir","Accessions","WholeGenome","InfectsHumans"
"Alagoas vesiculovirus","Vesicular stomatitis Alagoas virus",1,"Sandfly",NA,NA,NA,"Alagoas vesiculovirus",FALSE,FALSE,"Tesh et al. 1987; 4291620; 3034087; 23034141; http://www.sciencedirect.com/science/article/pii/S1567134809000380","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_025353.1",1,TRUE
"Alcelaphine gammaherpesvirus 1","Alcelaphine gammaherpesvirus 1",0,NA,NA,NA,NA,"Alcelaphine gammaherpesvirus 1",FALSE,NA,"","Olival2017","Artiodactyl","NC_002531.1",1,FALSE
"Alcelaphine gammaherpesvirus 2","Alcelaphine gammaherpesvirus 2",0,NA,NA,NA,NA,"Alcelaphine gammaherpesvirus 2",FALSE,NA,"","Olival2017","Artiodactyl","NC_024382.1",1,FALSE
"Allpahuayo mammarenavirus","Allpahuayo virus",0,NA,NA,NA,NA,"Allpahuayo mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_010249.1; NC_010253.1",1,FALSE
"Almpiwar sripuvirus","Almpiwar virus",NA,NA,"Strain",NA,NA,"Almpiwar sripuvirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Reptile","NC_025391.1",1,FALSE
"Alphacoronavirus 1","Feline coronavirus",0,NA,"Strain",NA,NA,"Alphacoronavirus 1",FALSE,TRUE,"NA; 17447647; 22320357","Woolhouse2018","Carnivore","NC_002306.3",1,FALSE
"Alphapapillomavirus 1","Alphapapillomavirus 1",0,NA,NA,NA,NA,"Alphapapillomavirus 1",FALSE,FALSE,"Beaudenon et al. 1987","Olival2017","Human","NC_001586.1",1,TRUE
"Alphapapillomavirus 10","Alphapapillomavirus 10",0,NA,NA,NA,NA,"Alphapapillomavirus 10",FALSE,FALSE,"Gissman & Zar Hausen 1980","Olival2017","Human","NC_001355.1",1,TRUE
"Alphapapillomavirus 11","Alphapapillomavirus 11",0,NA,NA,NA,NA,"Alphapapillomavirus 11",FALSE,FALSE,"Kawashima et al. 1986","Olival2017","Human","NC_001587.1",1,TRUE
"Alphapapillomavirus 12","Alphapapillomavirus 12",0,NA,NA,NA,NA,"Alphapapillomavirus 12",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_001678.1",1,FALSE
"Alphapapillomavirus 13","Alphapapillomavirus 13",0,NA,NA,NA,NA,"Alphapapillomavirus 13",FALSE,FALSE,"Favre et al. 1990","Olival2017","Human","NC_001676.1",1,TRUE
"Alphapapillomavirus 14","Alphapapillomavirus 14",0,NA,"Merged",NA,NA,"Alphapapillomavirus 14",FALSE,FALSE,"ICTV","Olival2017","Human","NC_004104.1",1,TRUE
"Alphapapillomavirus 2","Alphapapillomavirus 2",0,NA,NA,NA,NA,"Alphapapillomavirus 2",FALSE,FALSE,"Kremsdorf et al. 1983","Olival2017","Human","NC_001576.1",1,TRUE
"Alphapapillomavirus 3","Alphapapillomavirus 3",0,NA,NA,NA,NA,"Alphapapillomavirus 3",FALSE,FALSE,"Tachezy et al. 1994","Olival2017","Human","NC_001694.1",1,TRUE
"Alphapapillomavirus 4","Alphapapillomavirus 4",0,NA,NA,NA,NA,"Alphapapillomavirus 4",FALSE,FALSE,"Orth et al. 1997","Olival2017","Human","NC_001352.1",1,TRUE
"Alphapapillomavirus 5","Alphapapillomavirus 5",0,NA,NA,NA,NA,"Alphapapillomavirus 5",FALSE,FALSE,"Ostrow et al. 1984","Olival2017","Human","NC_001583.1",1,TRUE
"Alphapapillomavirus 6","Alphapapillomavirus 6",0,NA,NA,NA,NA,"Alphapapillomavirus 6",FALSE,FALSE,"Gallahan et al. 1989","Olival2017","Human","NC_001593.1",1,TRUE
"Alphapapillomavirus 7","Alphapapillomavirus 7",0,NA,NA,NA,NA,"Alphapapillomavirus 7",FALSE,FALSE,"Boshart et al. 1984","Olival2017","Human","NC_001357.1",1,TRUE
"Alphapapillomavirus 8","Alphapapillomavirus 8",0,NA,NA,NA,NA,"Alphapapillomavirus 8",FALSE,TRUE,"Orth et al. 1981","Olival2017","Human","NC_001595.1",1,TRUE
"Alphapapillomavirus 9","Alphapapillomavirus 9",0,NA,NA,NA,NA,"Alphapapillomavirus 9",FALSE,FALSE,"Durst et al. 1983","Olival2017","Human","NC_001526.4",1,TRUE
"Amaparí mammarenavirus","Amapari virus",0,NA,NA,NA,NA,"Serra do Navio mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_010251.1; NC_010247.1",1,FALSE
"American bat vesiculovirus","American bat vesiculovirus TFFN-2013",NA,NA,NA,NA,NA,"American bat vesiculovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Vespbat","NC_022755.1",1,FALSE
"Andes orthohantavirus","Andes virus",0,NA,NA,NA,NA,"Andes orthohantavirus",FALSE,FALSE,"Medina et al. 2009; 8659118; 15479837; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_003468.2; NC_003467.2; NC_003466.1",1,TRUE
"Anguillid perhabdovirus","Eel virus European X",0,NA,NA,NA,NA,"Anguillid perhabdovirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Fish","NC_022581.1",1,FALSE
"Anopheles A orthobunyavirus","Anopheles A virus isolate original",1,"Mosquito","Automatic match",NA,NA,"Anopheles A orthobunyavirus",FALSE,FALSE,"; ","Olival2017",NA,"KY793537.1; KY793538.1; KY793539.1",1,TRUE
"Anopheles B orthobunyavirus","Anopheles B orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Anopheles B orthobunyavirus",FALSE,NA,"","Olival2017; Woolhouse2018",NA,"FJ660417.1",0,FALSE
"Apoi virus","Apoi virus",0,NA,NA,NA,NA,"Apoi virus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","NC_003676.1",1,FALSE
"Aquamavirus A","Seal picornavirus type 1",0,NA,NA,NA,NA,"Aquamavirus A",FALSE,FALSE,"NA","Woolhouse2018; Internal","Carnivore","NC_009891.1",1,FALSE
"Aravan lyssavirus","Aravan virus",0,NA,NA,NA,NA,"Aravan lyssavirus",FALSE,FALSE,"; http://www.sciencedirect.com/science/article/pii/S016817020300217X","Internal","Vespbat","NC_020808.1",1,TRUE
"Arboretum almendravirus","Arboretum virus",1,"Mosquito",NA,NA,NA,"Arboretum almendravirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025393.1",1,FALSE
"Aroa virus","Aroa virus",1,NA,NA,NA,NA,"Aroa virus",FALSE,FALSE,"Shrihongse and Johnson 1971; 5107116; 6293325; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2, Woolhouse 2013","Olival2017; Woolhouse2018; Internal","Rodent","NC_009026.2",1,TRUE
"Ateline alphaherpesvirus 1","Ateline alphaherpesvirus 1",0,NA,NA,NA,NA,"Ateline alphaherpesvirus 1",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_034446.1",1,FALSE
"Aura virus","Aura virus",1,"Mosquito",NA,NA,NA,"Aura virus",FALSE,TRUE,"NA; Sabattini et al. 1965","Olival2017","Orphan","NC_003900.1",1,FALSE
"Australian bat lyssavirus","Australian bat lyssavirus",0,NA,NA,NA,NA,"Australian bat lyssavirus",FALSE,FALSE,"Allworth et al. 2006; 9775399; 28033365; ","Olival2017; Woolhouse2018; Internal",NA,"NC_003243.1",1,TRUE
"Avastrovirus 1","Avastrovirus 1",0,NA,NA,NA,NA,"Avastrovirus 1",FALSE,NA,"","Woolhouse2018","Galliformes","NC_002470.1",1,FALSE
"Avastrovirus 2","Chicken astrovirus",0,NA,NA,NA,NA,"Avastrovirus 2",FALSE,NA,"","Woolhouse2018","Galliformes","NC_003790.1",1,FALSE
"Avastrovirus 3","Avastrovirus 3",0,NA,NA,NA,NA,"Avastrovirus 3",FALSE,NA,"","Woolhouse2018","Anseriformes","NC_005790.1",1,FALSE
"Avian avulavirus 1","Newcastle disease virus",0,NA,NA,"gogoi2017",NA,"Avian orthoavulavirus 1",FALSE,FALSE,"Ingalls & Mahoney 1949; Available from external site; 22135263; http://onlinelibrary.wiley.com/doi/10.1111/tbed.12355/full","Olival2017; Woolhouse2018; Internal","Galliformes","NC_039223.1",1,TRUE
"Avian avulavirus 10","Avian paramyxovirus penguin",0,NA,NA,"gogoi2017",NA,"Avian metaavulavirus 10",FALSE,FALSE,"NA","Woolhouse2018; Internal","Sphenisciformes","NC_025349.3",1,FALSE
"Avian avulavirus 11","Avian paramyxovirus 11",0,NA,NA,"gogoi2017",NA,"Avian metaavulavirus 11",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025407.1",1,FALSE
"Avian avulavirus 12","Avian paramyxovirus 12",0,NA,NA,"gogoi2017",NA,"Avian orthoavulavirus 12",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025363.1",1,FALSE
"Avian avulavirus 3","Avian paramyxovirus 3",0,NA,NA,"gogoi2017",NA,"Avian paraavulavirus 3",FALSE,FALSE,"NA","Woolhouse2018; Internal","Galliformes","NC_025373.1",1,FALSE
"Avian avulavirus 4","Avian paramyxovirus 4",0,NA,NA,"gogoi2017",NA,"Avian paraavulavirus 4",FALSE,FALSE,"NA","Woolhouse2018; Internal","Anseriformes","NC_019531.1",1,FALSE
"Avian avulavirus 5","Avian paramyxovirus 5",0,NA,NA,"gogoi2017",NA,"Avian metaavulavirus 5",FALSE,FALSE,"NA","Woolhouse2018; Internal","Psittaciformes","NC_025361.1",1,FALSE
"Avian avulavirus 6","Avian paramyxovirus 6",0,NA,NA,"gogoi2017",NA,"Avian metaavulavirus 6",FALSE,FALSE,"NA","Woolhouse2018; Internal","Anseriformes","NC_039194.1",1,FALSE
"Avian avulavirus 7","Avian paramyxovirus 7",0,NA,NA,"gogoi2017",NA,"Avian metaavulavirus 7",FALSE,FALSE,"NA","Woolhouse2018; Internal","Galliformes","NC_025347.1",1,FALSE
"Avian avulavirus 8","Avian paramyxovirus 8",0,NA,NA,"gogoi2017",NA,"Avian metaavulavirus 8",FALSE,FALSE,"NA","Woolhouse2018; Internal","Anseriformes","NC_039195.1",1,FALSE
"Avian avulavirus 9","Avian paramyxovirus 9",0,NA,NA,"capua2004",NA,"Avian orthoavulavirus 9",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_025390.1",1,FALSE
"Avian coronavirus","Infectious bronchitis virus",0,NA,"Strain","cavanagh2007",NA,"Avian coronavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Galliformes","NC_001451.1",1,FALSE
"Avian metapneumovirus","Avian metapneumovirus",0,NA,NA,"njenga2003",NA,"Avian metapneumovirus",FALSE,TRUE,"NA; 21736487; 24637582; 22874773","Woolhouse2018","Galliformes","NC_007652.1",1,FALSE
"Avihepatovirus A","Duck hepatitis A virus",0,NA,NA,"pattison2007",NA,"Avihepatovirus A",FALSE,FALSE,"NA","Woolhouse2018; Internal","Anseriformes","NC_008250.2",1,FALSE
"Avisivirus B","Chicken picornavirus 2",0,NA,NA,"woo2014",NA,"Avisivirus B",FALSE,FALSE,"NA","Woolhouse2018; Internal","Galliformes","NC_024766.1",1,FALSE
"Avisivirus C","Chicken picornavirus 3",0,NA,NA,"woo2014",NA,"Avisivirus C",FALSE,FALSE,"NA","Woolhouse2018; Internal","Galliformes","NC_024767.1",1,FALSE
"Aydin virus","Pestivirus strain Aydin/04-TR",0,NA,"Unclassified; Strain",NA,NA,"Pestivirus I",FALSE,FALSE,"NA","Internal","Artiodactyl","NC_018713.1",1,FALSE
"Baboon orthoreovirus","Baboon orthoreovirus",0,NA,"Automatic match",NA,NA,"Baboon orthoreovirus",FALSE,NA,"","Olival2017; Woolhouse2018","NonHumanPrimate","NC_015877.1; NC_015878.1; NC_015879.1; NC_015880.1; NC_015881.1; NC_015882.1; NC_015883.1; NC_015884.1; NC_015886.1; NC_015885.1",1,FALSE
"Bagaza virus","Bagaza virus",1,"Mosquito",NA,"llorente2015",NA,"Bagaza virus",FALSE,FALSE,"19570951; 24056604; http://jgv.microbiologyresearch.org/content/journal/jgv/10.1099/0022-1317-82-8-1867#tab2, Woolhouse 2013","Woolhouse2018; Internal","Galliformes","NC_012534.1",1,TRUE
"Bakau orthobunyavirus","Bakau orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Bakau orthobunyavirus",FALSE,NA,"","Olival2017; Woolhouse2018",NA,"AM711134.1",0,FALSE
"Banna virus","Banna virus strain JKT-6423",1,"Mosquito","Automatic match",NA,NA,"Banna virus",FALSE,FALSE,"Attoui et al. 2005; Available from external site; 18680655","Olival2017; Woolhouse2018","Artiodactyl","NC_004211.1; NC_004217.1; NC_004218.1; NC_004219.1; NC_004220.1; NC_004221.1; NC_004204.1; NC_004203.1; NC_004202.1; NC_004201.1; NC_004200.1; NC_004198.1",1,TRUE
"Banzi virus","Banzi virus",1,"Mosquito","Automatic match",NA,NA,"Banzi virus",FALSE,FALSE,"Smithburn et al. 1959; 13832180; 6261449","Olival2017; Woolhouse2018","Orphan","DQ859056.1",1,TRUE
"Barmah Forest virus","Barmah Forest virus",1,"Mosquito",NA,NA,NA,"Barmah Forest virus",FALSE,FALSE,"Attoui et al. 2007; 3767767; 21752915; http://online.liebertpub.com/doi/pdf/10.1089/vbz.2007.0152","Olival2017; Woolhouse2018; Internal","Orphan","NC_001786.1",1,TRUE
"Barur ledantevirus","Barur ledantevirus",NA,NA,"Automatic match",NA,NA,"Barur ledantevirus",FALSE,NA,"","Olival2017; Woolhouse2018","Orphan","NC_034535.1",1,FALSE
"Bas-Congo tibrovirus","Bas-Congo virus",NA,NA,NA,NA,NA,"Bas-Congo tibrovirus",FALSE,FALSE,"23028323; 23028323; http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1002924#ppat-1002924-g008","Woolhouse2018; Internal","Orphan","JX297815.1",0,TRUE
"Bat coronavirus CDPHE15","Bat coronavirus CDPHE15",0,NA,NA,NA,NA,"Bat coronavirus CDPHE15",FALSE,FALSE,"NA","Woolhouse2018; Internal","Vespbat","NC_022103.1",1,FALSE
"Bat coronavirus HKU10","Bat coronavirus HKU10",0,NA,NA,NA,NA,"Bat coronavirus HKU10",FALSE,FALSE,"NA","Woolhouse2018; Internal","Pterobat","NC_018871.1",1,FALSE
"Bayou orthohantavirus","Bayou orthohantavirus",0,NA,"Automatic match",NA,NA,"Bayou orthohantavirus",FALSE,FALSE,"Morzunov et al. 1995; 7853545; 20836801","Olival2017; Woolhouse2018","Rodent","NC_038299.1; NC_038300.1; NC_038298.1",1,TRUE
"Bear Canyon mammarenavirus","Bear canyon virus",0,NA,NA,NA,NA,"Bear Canyon mammarenavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Rodent","NC_010255.1; NC_010256.1",1,FALSE
"Bebaru virus","Bebaru virus",1,"Mosquito",NA,NA,NA,"Bebaru virus",FALSE,FALSE,"NA; Attoui et al. 2007","Olival2017","Orphan","NC_016962.1",1,TRUE
"Beluga whale coronavirus SW1","Beluga Whale coronavirus SW1",0,NA,NA,NA,NA,"Beluga whale coronavirus SW1",FALSE,FALSE,"NA","Woolhouse2018; Internal","Orphan","NC_010646.1",1,FALSE
"Berrimah ephemerovirus","Berrimah virus",1,NA,NA,NA,NA,"Berrimah ephemerovirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_025358.1",1,FALSE
"Betacoronavirus 1","Human coronavirus OC43",0,NA,"Strain",NA,NA,"Betacoronavirus 1",FALSE,FALSE,"Risku et al. 2010; 5231356; 28549438; ","Olival2017; Woolhouse2018; Internal","Human","NC_006213.1",1,TRUE
"Betapapillomavirus 1","Betapapillomavirus 1",0,NA,NA,NA,NA,"Betapapillomavirus 1",FALSE,FALSE,"Orth et al. 1978","Olival2017","Human","NC_001531.1",1,TRUE
"Betapapillomavirus 2","Betapapillomavirus 2",0,NA,NA,NA,NA,"Betapapillomavirus 2",FALSE,FALSE,"Orth et al. 1978","Olival2017","Human","NC_001596.1",1,TRUE
"Betapapillomavirus 3","Betapapillomavirus 3",0,NA,NA,NA,NA,"Betapapillomavirus 3",FALSE,FALSE,"Favre et al. 1989","Olival2017","Human","NC_001591.1",1,TRUE
"Betapapillomavirus 4","Betapapillomavirus 4",0,NA,NA,NA,NA,"Betapapillomavirus 4",FALSE,FALSE,"ICTV","Olival2017","Human","NC_004500.1",1,TRUE
"Betapapillomavirus 5","Betapapillomavirus 5",0,NA,NA,NA,NA,"Betapapillomavirus 5",FALSE,FALSE,"ICTV","Olival2017","Human","NC_005134.2",1,TRUE
"Bimiti orthobunyavirus","Bimiti orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Bimiti orthobunyavirus",FALSE,NA,"","Olival2017; Woolhouse2018","Rodent","KP792657.1; KP792656.1; KP792655.1",1,FALSE
"Black Creek Canal orthohantavirus","Black Creek Canal orthohantavirus",0,NA,"Automatic match",NA,NA,"Black Creek Canal orthohantavirus",FALSE,FALSE,"Ravkov et al. 1995; 7618284; 20455779","Olival2017; Woolhouse2018","Rodent","GU997097.1",0,TRUE
"Bluetongue virus","Bluetongue virus",1,"Midge","Automatic match",NA,NA,"Bluetongue virus",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_006023.1; NC_006013.2; NC_006014.1; NC_006024.2; NC_006025.1; NC_006010.1; NC_006022.1; NC_006007.1; NC_006008.1; NC_006015.1",1,FALSE
"Bokeloh bat lyssavirus","Bokeloh bat lyssavirus",0,NA,NA,NA,NA,"Bokeloh bat lyssavirus",FALSE,FALSE,"; http://www.ncbi.nlm.nih.gov/pubmed/23760600","Internal","Vespbat","NC_025251.1",1,TRUE
"Border disease virus","Border disease virus",0,NA,NA,NA,NA,"Pestivirus D",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_003679.1",1,FALSE
"Bos taurus polyomavirus 1","Bos taurus polyomavirus 1",0,NA,NA,NA,NA,"Bos taurus polyomavirus 1",FALSE,NA,"","Olival2017","Artiodactyl","NC_001442.1",1,FALSE
"Bouboui virus","Bouboui virus",1,"Mosquito","Automatic match",NA,NA,"Bouboui virus",FALSE,FALSE,"; Digoutte JP et al 1971","Olival2017","Orphan","NC_033693.1",1,TRUE
"Bovine alphaherpesvirus 1","Bovine alphaherpesvirus 1",0,NA,NA,NA,NA,"Bovine alphaherpesvirus 1",FALSE,NA,"","Olival2017","Artiodactyl","NC_001847.1",1,FALSE
"Bovine alphaherpesvirus 2","Bovine alphaherpesvirus 2",0,NA,NA,NA,NA,"Bovine alphaherpesvirus 2",FALSE,NA,"","Olival2017","Artiodactyl","M21628.1",0,FALSE
"Bovine alphaherpesvirus 5","Bovine alphaherpesvirus 5",0,NA,NA,NA,NA,"Bovine alphaherpesvirus 5",FALSE,NA,"","Olival2017","Artiodactyl","NC_005261.2",1,FALSE
"Bovine atadenovirus D","Bovine atadenovirus D",0,NA,NA,NA,NA,"Bovine atadenovirus D",FALSE,NA,"","Olival2017","Artiodactyl","NC_002685.2",1,FALSE
"Bovine fever ephemerovirus","Bovine ephemeral fever virus",1,NA,NA,NA,NA,"Bovine fever ephemerovirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_002526.1",1,FALSE
"Bovine foamy virus","Bovine foamy virus",0,NA,"Automatic match",NA,NA,"Bovine foamy virus",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_001831.1",1,FALSE
"Bovine gammaherpesvirus 4","Bovine gammaherpesvirus 4",0,NA,NA,NA,NA,"Bovine gammaherpesvirus 4",FALSE,NA,"","Olival2017","Artiodactyl","NC_002665.1",1,FALSE
"Bovine immunodeficiency virus","Bovine immunodeficiency virus",0,NA,"Automatic match",NA,NA,"Bovine immunodeficiency virus",FALSE,NA,"","Olival2017; Woolhouse2018","Artiodactyl","NC_001413.1",1,FALSE
"Bovine leukemia virus","Bovine leukemia virus",0,NA,"Automatic match",NA,NA,"Bovine leukemia virus",FALSE,TRUE,"; Buehring et al. 2003","Olival2017","Artiodactyl","NC_001414.1",1,FALSE
"Bovine mastadenovirus A","Bovine mastadenovirus A",0,NA,NA,NA,NA,"Bovine mastadenovirus A",FALSE,NA,"","Olival2017","Artiodactyl","AC_000191.1",1,FALSE
"Bovine mastadenovirus B","Bovine mastadenovirus B",0,NA,NA,NA,NA,"Bovine mastadenovirus B",FALSE,NA,"","Olival2017","Artiodactyl","AC_000002.1",1,FALSE
"Bovine mastadenovirus C","Bovine mastadenovirus C",0,NA,NA,NA,NA,"Bovine mastadenovirus C",FALSE,NA,"","Olival2017","Artiodactyl","AF027599.2",1,FALSE
"Bovine orthopneumovirus","Bovine respiratory syncytial virus",0,NA,NA,NA,NA,"Bovine orthopneumovirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_001989.1",1,FALSE
"Bovine papular stomatitis virus","Bovine papular stomatitis virus",0,NA,"Automatic match",NA,NA,"Bovine papular stomatitis virus",FALSE,FALSE,"McEvoy 1972","Olival2017","Artiodactyl","NC_005337.1",1,TRUE
"Bovine respirovirus 3","Bovine parainfluenza virus 3",0,NA,NA,NA,NA,"Bovine respirovirus 3",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_002161.1",1,FALSE
"Bovine torovirus","Breda virus",0,NA,NA,NA,NA,"Bovine torovirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_007447.1",1,FALSE
"Bovine viral diarrhea virus 1","Bovine viral diarrhea virus 1",0,NA,NA,NA,NA,"Pestivirus A",FALSE,FALSE,"NA; 2898685; 19833455","Woolhouse2018","Artiodactyl","NC_001461.1",1,TRUE
"Bovine viral diarrhea virus 2","Bovine viral diarrhea virus 2",0,NA,NA,NA,NA,"Pestivirus B",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_002032.1",1,FALSE
"Bovine viral diarrhea virus 3","Bovine viral diarrhea virus 3",0,NA,"Unclassified",NA,NA,"Pestivirus H",FALSE,FALSE,"NA","Internal","Artiodactyl","NC_012812.1",1,FALSE
"Bubaline alphaherpesvirus 1","Bubaline alphaherpesvirus 1",0,NA,NA,NA,NA,"Bubaline alphaherpesvirus 1",FALSE,NA,"","Olival2017","Artiodactyl","KU936049.1",1,FALSE
"Bujaru phlebovirus","Bujaru phlebovirus",NA,NA,"Automatic match",NA,NA,"Bujaru phlebovirus",FALSE,NA,"","Olival2017; Woolhouse2018","Orphan","NC_033830.1; NC_033847.1; NC_033831.1",1,FALSE
"Bundibugyo ebolavirus","Bundibugyo virus",0,NA,NA,NA,NA,"Bundibugyo ebolavirus",FALSE,FALSE,"19023410; 27489269; http://www.sciencedirect.com/science/article/pii/S0042682213002237","Woolhouse2018; Internal","Orphan","NC_014373.1",1,TRUE
"Bunyamwera orthobunyavirus","Bunyamwera virus",1,"Mosquito",NA,NA,NA,"Bunyamwera orthobunyavirus",FALSE,FALSE,"Tauro et al. 2009; 21020339; 19501478; ","Olival2017; Woolhouse2018; Internal","Orphan","NC_001925.1; NC_001926.1; NC_001927.1",1,TRUE
"Bwamba orthobunyavirus","Bwamba orthobunyavirus",1,"Mosquito","Automatic match",NA,NA,"Bwamba orthobunyavirus",FALSE,FALSE,"Bowen et al. 1973; Available from external site; 12789111","Olival2017; Woolhouse2018",NA,"NC_034479.1; NC_034490.1; NC_034480.1",1,TRUE
"Cabassou virus","Cabassou virus",1,"Mosquito","Automatic match",NA,NA,"Cabassou virus",FALSE,NA,"","Olival2017; Woolhouse2018","Orphan","AF075259.1",1,FALSE
"Cacipacore virus","Cacipacore virus",NA,NA,NA,NA,NA,"Cacipacore virus",FALSE,FALSE,"Batista et al. 2011; 21860907; 28220327; http://www.ncbi.nlm.nih.gov/pubmed/21860907, http://www.scielo.br/scielo.php?pid=S0037-86822011000400028&script=sci_arttext","Olival2017; Woolhouse2018; Internal","Orphan","NC_026623.1",1,TRUE
"California encephalitis orthobunyavirus","La Crosse Virus",1,"Mosquito","Strain",NA,NA,"California encephalitis orthobunyavirus",FALSE,FALSE,"Taylor et al. 1985; 13009479; 21435229; ","Olival2017; Woolhouse2018; Internal","Rodent","NC_004108.1; NC_004109.1; NC_004110.1",1,TRUE
"Alethinophid 2 reptarenavirus","Boa arenavirus",0,NA,"Strain",NA,NA,"California reptarenavirus",FALSE,FALSE,"NA","Woolhouse2018; Internal","Reptile","NC_023762.1; NC_023761.1",1,FALSE
"Mamastrovirus 4","California sea lion astrovirus 2",0,NA,NA,NA,NA,"Mamastrovirus 4",FALSE,NA,"","Woolhouse2018","Carnivore","NC_034975.1",0,FALSE
"Callitrichine gammaherpesvirus 3","Callitrichine gammaherpesvirus 3",0,NA,NA,NA,NA,"Callitrichine gammaherpesvirus 3",FALSE,NA,"","Olival2017","NonHumanPrimate","NC_004367.1",1,FALSE
"Camelpox virus","Camelpox virus",0,NA,"Automatic match",NA,NA,"Camelpox virus",FALSE,TRUE,"Bera et al. 2011","Olival2017","Artiodactyl","NC_003391.1",1,FALSE
