Babayan,Olival,Woolhouse,UniversalName,OtherTaxonomicInfo,Comments,Remove,RemoveComment,SppName_ICTV_MSL2018b
,Ateline herpesvirus 1,,Ateline alphaherpesvirus 1,,,NA,,Ateline alphaherpesvirus 1
,Ateline herpesvirus 2,,Ateline gammaherpesvirus 2,,,NA,,Ateline gammaherpesvirus 2
Aura virus,Aura virus,,Aura virus,,,NA,,Aura virus
Australian bat lyssavirus,Australian bat lyssavirus,Australian bat lyssavirus,Australian bat lyssavirus,,,NA,,Australian bat lyssavirus
Avastrovirus 1,,,Avastrovirus 1,,,NA,,Avastrovirus 1
Chicken astrovirus,,,Avastrovirus 2,,,NA,,Avastrovirus 2
Avastrovirus 3,,,Avastrovirus 3,,,NA,,Avastrovirus 3
Infectious bronchitis virus,,,Avian coronavirus,Strain,Large number of species merged into this name,NA,,Avian coronavirus
Turkey enteric coronavirus,,,Avian coronavirus,Strain,Several species merged into this name,NA,,Avian coronavirus
Avian metapneumovirus,,Avian metapneumovirus,Avian metapneumovirus,,,NA,,Avian metapneumovirus
Duck hepatitis A virus,,,Avihepatovirus A,,,NA,,Avihepatovirus A
Chicken picornavirus 2,,,Avisivirus B,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Avisivirus B
Chicken picornavirus 3,,,Avisivirus C,,No match in ICTV taxonomy,NA,,Avisivirus C
,Baboon orthoreovirus,,Baboon orthoreovirus,Automatic match,,NA,,Baboon orthoreovirus
Bagaza virus,,Bagaza virus,Bagaza virus,,,NA,,Bagaza virus
,Bakau virus,,Bakau orthobunyavirus,Automatic match,,NA,,Bakau orthobunyavirus
,Banna virus,Banna virus ,Banna virus,Automatic match,,NA,,Banna virus
,Banzi virus,Banzi virus ,Banzi virus,Automatic match,,NA,,Banzi virus
Barmah Forest virus,Barmah Forest virus,Barmah Forest virus ,Barmah Forest virus,,,NA,,Barmah Forest virus
,Barur virus,,Barur ledantevirus,Automatic match,,NA,,Barur ledantevirus
Bas-Congo virus,,Bas-Congo tibrovirus,Bas-Congo tibrovirus,,,NA,,Bas-Congo tibrovirus
Bat coronavirus CDPHE15,,,Bat coronavirus CDPHE15,,,NA,,Bat coronavirus CDPHE15
Bat coronavirus HKU10,,,Bat coronavirus HKU10,,,NA,,Bat coronavirus HKU10
,Bayou virus,Bayou orthohantavirus ,Bayou orthohantavirus,Automatic match,,NA,,Bayou orthohantavirus
Bear canyon virus,Bear Canyon virus,,Bear Canyon mammarenavirus,,,NA,,Bear Canyon mammarenavirus
Bebaru virus,Bebaru virus,,Bebaru virus,,,NA,,Bebaru virus
Beluga Whale coronavirus SW1,,,Beluga whale coronavirus SW1,,,NA,,Beluga whale coronavirus SW1
Berrimah virus,Berrimah virus,,Berrimah ephemerovirus,,,NA,,Berrimah ephemerovirus
,Porcine reproductive and respiratory syndrome virus,,Porcine reproductive and respiratory syndrome virus 1,,,NA,,Betaarterivirus suid 1
,,Betacoronavirus 1,Betacoronavirus 1,Automatic match,,NA,,Betacoronavirus 1
,,Betacoronavirus 1,Betacoronavirus 1,Automatic match,,NA,,Betacoronavirus 1
Dromedary camel coronavirus HKU23,,,Betacoronavirus 1,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Betacoronavirus 1
Dromedary camel coronavirus HKU23,,,Betacoronavirus 1,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Betacoronavirus 1
Equine coronavirus,,,Betacoronavirus 1,Strain,Large number of species merged into this name,NA,,Betacoronavirus 1
Equine coronavirus,,,Betacoronavirus 1,Strain,Large number of species merged into this name,NA,,Betacoronavirus 1
Human coronavirus OC43,Human coronavirus OC43,,Betacoronavirus 1,Strain,Large number of species merged into this name,NA,,Betacoronavirus 1
Human coronavirus OC43,Human coronavirus OC43,,Betacoronavirus 1,Strain,Large number of species merged into this name,NA,,Betacoronavirus 1
Porcine hemagglutinating encephalomyelitis virus,Porcine hemagglutinating encephalomyelitis virus,,Betacoronavirus 1,Strain,Large number of species merged into this name,NA,,Betacoronavirus 1
Porcine hemagglutinating encephalomyelitis virus,Porcine hemagglutinating encephalomyelitis virus,,Betacoronavirus 1,Strain,Large number of species merged into this name,NA,,Betacoronavirus 1
Bovine enteritic coronavirus,Bovine coronavirus,,Betacoronavirus 1,Strain; POSSIBLE DUPLICATE,"Bovine enteritic coronavirus: n match, but new sp. Betacoronavirus 1 contains 'Bovine coronavirus' and 'Human enteritic coronavirus'; So treated as a sub-strain of Olival’s as a sub-strain of Bovine coronavirus, which in turn has been merged into Betacoronavirus 1",NA,,Betacoronavirus 1
Bovine enteritic coronavirus,Bovine coronavirus,,Betacoronavirus 1,Strain; POSSIBLE DUPLICATE,"Bovine enteritic coronavirus: n match, but new sp. Betacoronavirus 1 contains 'Bovine coronavirus' and 'Human enteritic coronavirus'; So treated as a sub-strain of Olival’s as a sub-strain of Bovine coronavirus, which in turn has been merged into Betacoronavirus 1",NA,,Betacoronavirus 1
Bovine respiratory coronavirus AH187,Bovine coronavirus,,Betacoronavirus 1,Strain; POSSIBLE DUPLICATE,No match in ICTV taxonomy; Listed as a sub-strain of Bovine coronaviruson NCBI taxonomy,NA,,Betacoronavirus 1
Bovine respiratory coronavirus AH187,Bovine coronavirus,,Betacoronavirus 1,Strain; POSSIBLE DUPLICATE,No match in ICTV taxonomy; Listed as a sub-strain of Bovine coronaviruson NCBI taxonomy,NA,,Betacoronavirus 1
Human enteric coronavirus strain 4408,Bovine coronavirus,,Betacoronavirus 1,Strain; POSSIBLE DUPLICATE,Listed as a sub-strain of Bovine coronaviruson NCBI,NA,,Betacoronavirus 1
Human enteric coronavirus strain 4408,Bovine coronavirus,,Betacoronavirus 1,Strain; POSSIBLE DUPLICATE,Listed as a sub-strain of Bovine coronaviruson NCBI,NA,,Betacoronavirus 1
,Human papillomavirus 5,,Betapapillomavirus 1,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Betapapillomavirus 1
,Human papillomavirus 9,,Betapapillomavirus 2,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Betapapillomavirus 2
,Human papillomavirus 49,,Betapapillomavirus 3,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Betapapillomavirus 3
,Human papillomavirus cand92,,Betapapillomavirus 4,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Betapapillomavirus 4
,Human papillomavirus cand96,,Betapapillomavirus 5,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Betapapillomavirus 5
,Bimiti virus,,Bimiti orthobunyavirus,Automatic match,,NA,,Bimiti orthobunyavirus
,Black Creek Canal virus,Black creek canal orthohantavirus ,Black Creek Canal orthohantavirus,Automatic match,,NA,,Black Creek Canal orthohantavirus
,Bluetongue virus,,Bluetongue virus,Automatic match,,NA,,Bluetongue virus
Bokeloh bat lyssavirus,,,Bokeloh bat lyssavirus,,,NA,,Bokeloh bat lyssavirus
,Bovine polyomavirus,,Bos taurus polyomavirus 1,,,NA,,Bos taurus polyomavirus 1
,Bouboui virus,,Bouboui virus,Automatic match,,NA,,Bouboui virus
,Bovine herpesvirus 1,,Bovine alphaherpesvirus 1,,,NA,,Bovine alphaherpesvirus 1
,Bovine herpesvirus 2,,Bovine alphaherpesvirus 2,,,NA,,Bovine alphaherpesvirus 2
,Bovine herpesvirus 5,,Bovine alphaherpesvirus 5,,,NA,,Bovine alphaherpesvirus 5
,Bovine adenovirus D,,Bovine atadenovirus D,,,NA,,Bovine atadenovirus D
Bovine ephemeral fever virus,Bovine ephemeral fever virus,,Bovine fever ephemerovirus,,,NA,,Bovine fever ephemerovirus
,Bovine foamy virus,,Bovine foamy virus,Automatic match,,NA,,Bovine foamy virus
,Bovine herpesvirus 4,,Bovine gammaherpesvirus 4,,,NA,,Bovine gammaherpesvirus 4
,Bovine immunodeficiency virus,,Bovine immunodeficiency virus,Automatic match,,NA,,Bovine immunodeficiency virus
,Bovine leukemia virus,,Bovine leukemia virus,Automatic match,,NA,,Bovine leukemia virus
,Bovine adenovirus A,,Bovine mastadenovirus A,,,NA,,Bovine mastadenovirus A
,Bovine adenovirus B,,Bovine mastadenovirus B,,,NA,,Bovine mastadenovirus B
,Bovine adenovirus C,,Bovine mastadenovirus C,,,NA,,Bovine mastadenovirus C
Bovine respiratory syncytial virus,Bovine respiratory syncytial virus,,Bovine orthopneumovirus,,,NA,,Bovine orthopneumovirus
,Bovine papular stomatitis virus,,Bovine papular stomatitis virus,Automatic match,,NA,,Bovine papular stomatitis virus
Bovine parainfluenza virus 3,Bovine parainfluenza virus 3,,Bovine respirovirus 3,,,NA,,Bovine respirovirus 3
Breda virus,Bovine torovirus,,Bovine torovirus,,,NA,,Bovine torovirus
Sabia virus,Sabia virus,Sabiá mammarenavirus,Sabiá mammarenavirus,,,NA,,Brazilian mammarenavirus
,Bubaline herpesvirus 1,,Bubaline alphaherpesvirus 1,,,NA,,Bubaline alphaherpesvirus 1
,Bujaru virus,,Bujaru phlebovirus,Automatic match,,NA,,Bujaru phlebovirus
,Bukalasa bat virus,,Bukalasa bat virus,Automatic match,,NA,,Bukalasa bat virus
Thrush coronavirus HKU12,,,Bulbul coronavirus HKU11,Merged,"Species merged in 2017 (or more precisely, examplar isolate of Thrush coronavirus HKU12 was re-assigned to Bulbul coronavirus HKU11)",NA,,Bulbul coronavirus HKU11
Bundibugyo virus,,Bundibugyo ebolavirus,Bundibugyo ebolavirus,,,NA,,Bundibugyo ebolavirus
Bunyamwera virus,Bunyamwera virus,Bunyamwera orthobunyavirus ,Bunyamwera orthobunyavirus,,,NA,,Bunyamwera orthobunyavirus
,Bwamba virus,Bwamba orthobunyavirus ,Bwamba orthobunyavirus,Automatic match,,NA,,Bwamba orthobunyavirus
,Cabassou virus,,Cabassou virus,Automatic match,,NA,,Cabassou virus
Cacipacore virus,Cacipacore virus,Cacipacore virus,Cacipacore virus,,,NA,,Cacipacore virus
Pichinde arenavirus,Pichinde virus,Pichindé mammarenavirus,Pichindé mammarenavirus,,,NA,,Cali mammarenavirus
La Crosse Virus,California encephalitis virus,California encephalitis orthobunyavirus ,California encephalitis orthobunyavirus,Strain,Large number of species merged into this name (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=19981031),NA,,California encephalitis orthobunyavirus
Boa arenavirus,,,Alethinophid 2 reptarenavirus,Strain,No match in ICTV taxonomy; Strain of Alethinophid 2 reptarenavirus on NCBI,NA,,California reptarenavirus
University of Helsinki virus,,,Alethinophid 2 reptarenavirus,Strain,No match in ICTV taxonomy; Listed as a strain of Alethinophid 2 reptarenavirus on NCBI,NA,,California reptarenavirus
,Callitrichine herpesvirus 3,,Callitrichine gammaherpesvirus 3,,,NA,,Callitrichine gammaherpesvirus 3
,Camelpox virus,,Camelpox virus,Automatic match,,NA,,Camelpox virus
Candiru virus,Candiru virus,Candiru phlebovirus,Candiru phlebovirus,,,NA,,Candiru phlebovirus
,Canid herpesvirus 1,,Canid alphaherpesvirus 1,,,NA,,Canid alphaherpesvirus 1
,Canine adenovirus,,Canine mastadenovirus A,,,NA,,Canine mastadenovirus A
Canine distemper virus,Canine distemper virus,Canine morbillivirus,Canine morbillivirus,,,NA,,Canine morbillivirus
,Cano Delgadito virus,,Cano Delgadito orthohantavirus,Automatic match,,NA,,Cano Delgadito orthohantavirus
,Caprine herpesvirus 1,,Caprine alphaherpesvirus 1,,,NA,,Caprine alphaherpesvirus 1
,Caprine arthritis encephalitis virus,,Caprine arthritis encephalitis virus,Automatic match,,NA,,Caprine arthritis encephalitis virus
,Caraparu virus,Caraparu orthobunyavirus ,Caraparu orthobunyavirus,Automatic match,,NA,,Caraparu orthobunyavirus
,Encephalomyocarditis virus,Cardiovirus A,Cardiovirus A,,,NA,,Cardiovirus A
,Theilovirus,Cardiovirus B,Cardiovirus B,,,NA,,Cardiovirus B
,Carey Island virus,,Carey Island virus,Automatic match,,NA,,Carey Island virus
,Aleutian mink disease virus,,Carnivore amdoparvovirus 1,,,NA,,Carnivore amdoparvovirus 1
,Canine minute virus,,Carnivore bocaparvovirus 1,,,NA,,Carnivore bocaparvovirus 1
,Feline panleukopenia virus,,Carnivore protoparvovirus 1,,Merged with Canine parvovirus,NA,,Carnivore protoparvovirus 1
Spring viraemia of carp virus,,,Carp sprivivirus,,,NA,,Carp sprivivirus
,Catu virus,Catu orthobunyavirus,Catu orthobunyavirus,Automatic match,,NA,,Catu orthobunyavirus
,Caviid herpesvirus 2,,Caviid betaherpesvirus 2,,,NA,,Caviid betaherpesvirus 2
Cedar virus,,,Cedar henipavirus,,,NA,,Cedar henipavirus
,Cercopithecine herpesvirus 2,,Cercopithecine alphaherpesvirus 2,,,NA,,Cercopithecine alphaherpesvirus 2
,Cercopithecine herpesvirus 9,,Cercopithecine alphaherpesvirus 9,,,NA,,Cercopithecine alphaherpesvirus 9
,Cercopithecine herpesvirus 5,,Cercopithecine betaherpesvirus 5,,,NA,,Cercopithecine betaherpesvirus 5
,Cercopithecine herpesvirus 14,,Cercopithecine gammaherpesvirus 14,,,NA,,Cercopithecine gammaherpesvirus 14
,Cervid herpesvirus 1,,Cervid alphaherpesvirus 1,,,NA,,Cervid alphaherpesvirus 1
,Cervid herpesvirus 2,,Cervid alphaherpesvirus 2,,,NA,,Cervid alphaherpesvirus 2
Dolphin morbillivirus,Cetacean morbillivirus virus,,Cetacean morbillivirus,,Dolphin morbillivirus: no match in ICTV taxonomy; listed as a strain/isolate on NCBI,NA,,Cetacean morbillivirus
Chandipura virus,Chandipura virus,Chandipura vesiculovirus ,Chandipura vesiculovirus,,,NA,,Chandipura vesiculovirus
,Changuinola virus,,Changuinola virus,Automatic match,,NA,,Changuinola virus
Chapare virus,,Chapare mammarenavirus,Chapare mammarenavirus,,,NA,,Chapare mammarenavirus
Chikungunya virus,Chikungunya virus,Chikungunya virus ,Chikungunya virus,,,NA,,Chikungunya virus
,Chobar Gorge virus,,Chobar Gorge virus,Automatic match,,NA,,Chobar Gorge virus
,,Choclo orthohantavirus,Choclo orthohantavirus,Automatic match,,NA,,Choclo orthohantavirus
Coastal Plains virus,,,Coastal Plains tibrovirus,,,NA,,Coastal Plains tibrovirus
,Cocal virus,Cocal vesiculovirus,Cocal vesiculovirus,Automatic match,,NA,,Cocal vesiculovirus
,Colorado tick fever virus,Colorado tick fever virus ,Colorado tick fever virus,Automatic match,,NA,,Colorado tick fever virus
Common-moorhen coronavirus HKU21,,,Common moorhen coronavirus HKU21,,,NA,,Common moorhen coronavirus HKU21
Porcine coronavirus HKU15,,,Coronavirus HKU15,,Porcine coronavirus HKU15' is a strain on NCBI taxonomy,NA,,Coronavirus HKU15
,Corriparta virus,Corriparta virus,Corriparta virus,Automatic match,,NA,,Corriparta virus
,,Cosavirus A,Cosavirus A,Automatic match,,NA,,Cosavirus A
,,Cosavirus B,Cosavirus B,Automatic match,,NA,,Cosavirus B
,,Cosavirus D,Cosavirus D,Automatic match,,NA,,Cosavirus D
,,Cosavirus E,Cosavirus E,Automatic match,,NA,,Cosavirus E
,,Cosavirus F,Cosavirus F,Automatic match,,NA,,Cosavirus F
,Cowbone Ridge virus,,Cowbone Ridge virus,Automatic match,,NA,,Cowbone Ridge virus
,Cowpox virus,,Cowpox virus,Automatic match,,NA,,Cowpox virus
Crimean-Congo hemorrhagic fever virus,Crimean-Congo hemorrhagic fever virus,Crimean-Congo haemorrhagic fever orthonairovirus ,Crimean-Congo hemorrhagic fever orthonairovirus,,,NA,,Crimean-Congo hemorrhagic fever orthonairovirus
Cupixi virus,Cupixi virus,,Cupixi mammarenavirus,,,NA,,Cupixi mammarenavirus
Curionopolis virus,,,Curionopolis curiovirus,,,NA,,Curionopolis curiovirus
,Dakar bat virus,,Dakar bat virus,Automatic match,,NA,,Dakar bat virus
,Simian hemorrhagic fever virus,,Simian hemorrhagic fever virus,Automatic match,,NA,,Deltaarterivirus hemfev
,European elk papillomavirus,,Deltapapillomavirus 1,,,NA,,Deltapapillomavirus 1
,Deer papillomavirus,,Deltapapillomavirus 2,,,NA,,Deltapapillomavirus 2
,Ovine papillomavirus 1,,Deltapapillomavirus 3,,,NA,,Deltapapillomavirus 3
,Bovine papillomavirus 1,,Deltapapillomavirus 4,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Deltapapillomavirus 4
,Dengue virus,Dengue virus ,Dengue virus,Automatic match,,NA,,Dengue virus
Dengue virus 1,,,Dengue virus,Merged,All Dengue virus subtypes merged (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162437). Checked for duplication – lowest K80 distance to other subtypes is 0.344,NA,,Dengue virus
Dengue virus 2,,,Dengue virus,Merged,All Dengue virus subtypes merged (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162437). Checked for duplication – lowest K80 distance to other subtypes is 0.344,NA,,Dengue virus
Dengue virus 3,,,Dengue virus,Merged,All Dengue virus subtypes merged (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162437). Checked for duplication – lowest K80 distance to other subtypes is 0.344,NA,,Dengue virus
Dengue virus 4,,,Dengue virus,Merged,All Dengue virus subtypes merged (https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20162437). Checked for duplication – lowest K80 distance to other subtypes is 0.344,NA,,Dengue virus
,Dera Ghazi Khan virus,,Dera Ghazi Khan orthonairovirus,Automatic match,,NA,,Dera Ghazi Khan orthonairovirus
,Dhori virus,Dhori virus,Dhori virus,Automatic match,,NA,,Dhori thogotovirus
Dobrava-Belgrade virus,Dobrava-Belgrade virus,Dobrava-Belgrade orthohantavirus ,Dobrava-Belgrade orthohantavirus,,,NA,,Dobrava-Belgrade orthohantavirus
Drosophila melanogaster sigmavirus,,,Drosophila melanogaster sigmavirus,,,NA,,Drosophila melanogaster sigmavirus
Drosophila obscura sigmavirus,,,Drosophila obscura sigmavirus,,,NA,,Drosophila obscura sigmavirus
Dugbe virus,Dugbe virus,Dugbe orthonairovirus ,Dugbe orthonairovirus,,,NA,,Dugbe orthonairovirus
Duvenhage virus,Duvenhage virus,Duvenhage lyssavirus ,Duvenhage lyssavirus,,,NA,,Duvenhage lyssavirus
Eastern equine encephalitis virus,Eastern equine encephalitis virus,Eastern equine encephalitis virus ,Eastern equine encephalitis virus,,,NA,,Eastern equine encephalitis virus
,Ectromelia virus,,Ectromelia virus,Automatic match,,NA,,Ectromelia virus
,,Edge Hill virus,Edge Hill virus,Automatic match,,NA,,Edge Hill virus
Eggplant mottled dwarf virus,,,Eggplant mottled dwarf nucleorhabdovirus,,,NA,,Eggplant mottled dwarf nucleorhabdovirus
Eilat virus,,,Eilat virus,,,NA,,Eilat virus
,,Ekpoma 1 tibrovirus ,Ekpoma 1 tibrovirus,Automatic match,,NA,,Ekpoma 1 tibrovirus
,,Ekpoma 2 tibrovirus,Ekpoma 2 tibrovirus,Automatic match,,NA,,Ekpoma 2 tibrovirus
,El Moro Canyon virus,,El Moro Canyon orthohantavirus,Automatic match,,NA,,El Moro Canyon orthohantavirus
Entebbe bat virus,Entebbe bat virus,,Entebbe bat virus,,,NA,,Entebbe bat virus
Enterovirus A71,Human enterovirus A,Enterovirus A,Enterovirus A,,"Enterovirus A71: no match in ICTV taxonomy, listed as a type/strain on NCBI",NA,,Enterovirus A
Human enterovirus 107,Human enterovirus B,Enterovirus B,Enterovirus B,,Human enterovirus 107: No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Enterovirus B
,,Enterovirus C,Enterovirus C,Automatic match,,NA,,Enterovirus C
,Human enterovirus C,,Enterovirus C,Merged,,TRUE,Duplicate (data identical to Poliovirus),Enterovirus C
Human poliovirus 2,Poliovirus,,Enterovirus C,Merged,,NA,,Enterovirus C
,Human enterovirus D,Enterovirus D,Enterovirus D,,,NA,,Enterovirus D
,,Enterovirus E,Enterovirus E,Automatic match,,NA,,Enterovirus E
,Porcine enterovirus B,,Enterovirus G,,,NA,,Enterovirus G
,Simian enterovirus A,,Enterovirus H,,,NA,,Enterovirus H
Dromedary camel enterovirus,,,Enterovirus I,Strain,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Enterovirus I
,Epizootic hemorrhagic disease virus,,Epizootic hemorrhagic disease virus,Automatic match,,NA,,Epizootic hemorrhagic disease virus
,Bovine papillomavirus 5,,Epsilonpapillomavirus 1,,,NA,,Epsilonpapillomavirus 1
,Equid herpesvirus 1,,Equid alphaherpesvirus 1,,,NA,,Equid alphaherpesvirus 1
,Equid herpesvirus 3,,Equid alphaherpesvirus 3,,,NA,,Equid alphaherpesvirus 3
,Equid herpesvirus 4,,Equid alphaherpesvirus 4,,,NA,,Equid alphaherpesvirus 4
,Equid herpesvirus 8,,Equid alphaherpesvirus 8,,,NA,,Equid alphaherpesvirus 8
,Equid herpesvirus 9,,Equid alphaherpesvirus 9,,,NA,,Equid alphaherpesvirus 9
