UniversalName,Strain,Reservoir,Genbank.accession,WholeGenome,Vector.borne,Vector,OtherTaxonomicInfo,Reference_Reservoir,Reference_Vector
Avian coronavirus,Turkey enteric coronavirus,Galliformes,NC_010800.1,1,0,none,Strain,cavanagh2007,
Avian metapneumovirus,Avian metapneumovirus,Galliformes,NC_007652.1,1,0,none,NA,njenga2003,
Avihepatovirus A,Duck hepatitis A virus,Anseriformes,NC_008250.2,1,0,none,NA,pattison2007,
Avisivirus B,Chicken picornavirus 2,Galliformes,NC_024766.1,1,0,none,NA,woo2014,
Avisivirus C,Chicken picornavirus 3,Galliformes,NC_024767.1,1,0,none,NA,woo2014,
Avisivirus Pf-CHK1/AsV,Avisivirus Pf-CHK1/AsV,Orphan,NC_028970.1,1,0,none,Unclassified,boros2016,
Aydin virus,Pestivirus Burdur,Artiodactyl,KM408491.1,1,?,unknown,Unclassified; Strain,,
Aydin virus,Pestivirus strain Aydin/04-TR,Artiodactyl,NC_018713.1,1,0,none,Unclassified; Strain,,
Baboon orthoreovirus,NA,NonHumanPrimate,NC_015877.1; NC_015878.1; NC_015879.1; NC_015880.1; NC_015881.1; NC_015882.1; NC_015883.1; NC_015884.1; NC_015886.1; NC_015885.1,1,0,NA,Automatic match,,
Bagaza virus,Bagaza virus,Galliformes,NC_012534.1,1,1,mosquito,NA,llorente2015,
Bakau orthobunyavirus,NA,NA,AM711134.1,0,1,mosquito,Automatic match,,
Banna virus,Banna virus strain JKT-6423,Artiodactyl,NC_004211.1; NC_004217.1; NC_004218.1; NC_004219.1; NC_004220.1; NC_004221.1; NC_004204.1; NC_004203.1; NC_004202.1; NC_004201.1; NC_004200.1; NC_004198.1,1,1,mosquito,Automatic match,,
Banzi virus,NA,Orphan,DQ859056.1,1,1,mosquito,Automatic match,,
Barmah Forest virus,Barmah Forest virus,Orphan,NC_001786.1,1,1,mosquito,NA,,
Barur ledantevirus,NA,Orphan,NC_034535.1,1,?,unknown,Automatic match,,
Bas-Congo tibrovirus,Bas-Congo virus,Orphan,JX297815.1,0,?,unknown,NA,,
Bastrovirus BAS-1,Bastrovirus 7,Human,NC_035758.1,1,0,none,Unclassified,,
Bastrovirus BAS-2,Bastrovirus BAS-2,Orphan,NC_035471.1,1,0,none,Unclassified,,
Bastrovirus BAS-3,Bastrovirus BAS-3,Rodent,NC_032484.1,1,0,none,Unclassified,,
Bastrovirus-like_virus/VietNam/Bat/17819_21,Bastrovirus-like_virus/VietNam/Bat/17819_21,Orphan,NC_032426.1,1,0,none,Unclassified,,
Bastrovirus/VietNam/Porcine/17489_85,Bastrovirus/VietNam/Porcine/17489_85,Orphan,NC_032423.1,1,0,none,Unclassified,,
Bat coronavirus 1A,Bat coronavirus 1A,Vespbat,NC_010437.1,1,0,none,Unclassified; Strain,,
Bat coronavirus 1A,Bat coronavirus 1B,Vespbat,EU420137.1,1,0,none,Unclassified; Strain,,
Bat coronavirus BM48-31/BGR/2008,Bat coronavirus BM48-31,Pterobat,NC_014470.1,1,0,none,Unclassified,,
Bat coronavirus CDPHE15,Bat coronavirus CDPHE15,Vespbat,NC_022103.1,1,0,none,NA,,
Bat coronavirus HKU10,Bat coronavirus HKU10,Pterobat,NC_018871.1,1,0,none,NA,,
Bat hepatovirus,Bat hepatovirus,Vespbat,NC_028366.1,1,0,none,Unclassified,,
Bat Hp-betacoronavirus/Zhejiang2013,Bat Hp-betacoronavirus,Orphan,NC_025217.1,1,0,none,Unclassified,,
Bat picornavirus 1,Bat picornavirus 1,Vespbat,NC_015940.1,1,0,none,Unclassified,,
Bat picornavirus 2,Bat picornavirus 2,Vespbat,NC_015941.1,1,0,none,Unclassified,,
Bat picornavirus 3,Bat picornavirus 3,Pterobat,NC_015934.1,1,0,none,Unclassified,,
Bat sapovirus TLC58/HK,Bat sapovirus TLC58 HK,Pterobat,NC_017936.1,1,0,none,Unclassified,,
Bayou orthohantavirus,NA,Rodent,NC_038299.1; NC_038300.1; NC_038298.1,1,0,NA,Automatic match,,
Bean necrotic mosaic virus,Bean necrotic mosaic virus,Plant,NC_018070.1; NC_018072.1; NC_018071.1,1,1,thrip,Unclassified,,
Bear Canyon mammarenavirus,Bear canyon virus,Rodent,NC_010255.1; NC_010256.1,1,0,none,NA,,
Bebaru virus,Bebaru virus,Orphan,NC_016962.1,1,1,mosquito,NA,,
Beilong virus,Beilong virus,Rodent,NC_007803.1,1,0,none,Unclassified,,
Beluga whale coronavirus SW1,Beluga Whale coronavirus SW1,Orphan,NC_010646.1,1,0,none,NA,,
Berrimah ephemerovirus,Berrimah virus,Artiodactyl,NC_025358.1,1,1,unknown,NA,,
Betacoronavirus 1,Bovine enteritic coronavirus,Artiodactyl,NC_003045.1,1,0,none,Strain; POSSIBLE DUPLICATE,,
Betacoronavirus 1,Bovine respiratory coronavirus AH187,Artiodactyl,FJ938065.1,1,0,none,Strain; POSSIBLE DUPLICATE,,
Betacoronavirus 1,Human enteric coronavirus strain 4408,Orphan,FJ938067.1,1,0,none,Strain; POSSIBLE DUPLICATE,,
Betacoronavirus 1,Equine coronavirus,Perissodactyla,LC061274.1,1,0,none,Strain,,
Betacoronavirus 1,Human coronavirus OC43,Human,KX344031.1,1,0,none,Strain,,
Betacoronavirus 1,Porcine hemagglutinating encephalomyelitis virus,Artiodactyl,DQ011855.1,1,0,none,Strain,,
Betacoronavirus 1,Dromedary camel coronavirus HKU23,Artiodactyl,KF906249.1,1,0,NA,Strain,,
Betacoronavirus HKU24,Betacoronavirus HKU24,Rodent,NC_026011.1,1,0,none,Unclassified,,
Betapapillomavirus 1,NA,Human,NC_001531.1,1,0,NA,NA,,
Betapapillomavirus 2,NA,Human,NC_001596.1,1,0,NA,NA,,
Betapapillomavirus 3,NA,Human,NC_001591.1,1,0,NA,NA,,
Betapapillomavirus 4,NA,Human,NC_004500.1,1,0,NA,NA,,
Betapapillomavirus 5,NA,Human,NC_005134.2,1,0,NA,NA,,
Bimiti orthobunyavirus,NA,Rodent,KP792657.1; KP792656.1; KP792655.1,1,1,mosquito,Automatic match,,
Black Creek Canal orthohantavirus,NA,Rodent,GU997097.1,0,0,NA,Automatic match,,
Bluetongue virus,NA,Artiodactyl,NC_006023.1; NC_006013.2; NC_006014.1; NC_006024.2; NC_006025.1; NC_006010.1; NC_006022.1; NC_006007.1; NC_006008.1; NC_006015.1,1,1,midge,Automatic match,,
Bokeloh bat lyssavirus,Bokeloh bat lyssavirus,Vespbat,NC_025251.1,1,0,none,NA,,
Border disease virus,Border disease virus,Artiodactyl,NC_003679.1,1,0,none,NA,,
Bos taurus polyomavirus 1,NA,Artiodactyl,NC_001442.1,1,0,NA,NA,,
Bouboui virus,NA,Orphan,NC_033693.1,1,1,mosquito,Automatic match,,
Bovine alphaherpesvirus 1,NA,Artiodactyl,NC_001847.1,1,0,NA,NA,,
Bovine alphaherpesvirus 2,NA,Artiodactyl,M21628.1,0,0,NA,NA,,
Bovine alphaherpesvirus 5,NA,Artiodactyl,NC_005261.2,1,0,NA,NA,,
Bovine astrovirus B170/HK,Bovine astrovirus B170/HK,Artiodactyl,NC_023632.1,1,0,none,Unclassified,,
Bovine astrovirus B18/HK,Bovine astrovirus B18/HK,Artiodactyl,NC_023631.1,1,0,none,Unclassified,,
Bovine astrovirus B76/HK,Bovine astrovirus B76/HK,Artiodactyl,NC_023629.1,1,0,none,Unclassified,,
Bovine astrovirus CH13,Bovine astrovirus CH13,Artiodactyl,NC_024498.1,1,0,none,Unclassified,,
Bovine atadenovirus D,NA,Artiodactyl,NC_002685.2,1,0,NA,NA,,
Bovine fever ephemerovirus,Bovine ephemeral fever virus,Artiodactyl,NC_002526.1,1,1,unknown,NA,,
Bovine foamy virus,NA,Artiodactyl,NC_001831.1,1,0,NA,Automatic match,,
Bovine gammaherpesvirus 4,NA,Artiodactyl,NC_002665.1,1,0,NA,NA,,
Bovine hepacivirus,Bovine hepacivirus,Artiodactyl,NC_026797.1,1,0,none,Unclassified,,
Bovine immunodeficiency virus,NA,Artiodactyl,NC_001413.1,1,0,NA,Automatic match,,
Bovine leukemia virus,NA,Artiodactyl,NC_001414.1,1,0,NA,Automatic match,,
Bovine mastadenovirus A,NA,Artiodactyl,AC_000191.1,1,0,NA,NA,,
Bovine mastadenovirus B,NA,Artiodactyl,AC_000002.1,1,0,NA,NA,,
Bovine mastadenovirus C,NA,Artiodactyl,AF027599.2,1,0,NA,NA,,
Bovine orthopneumovirus,Bovine respiratory syncytial virus,Artiodactyl,NC_001989.1,1,0,none,NA,,
Bovine papular stomatitis virus,NA,Artiodactyl,NC_005337.1,1,0,NA,Automatic match,,
Bovine respirovirus 3,Bovine parainfluenza virus 3,Artiodactyl,NC_002161.1,1,0,none,NA,,
Bovine torovirus,Breda virus,Artiodactyl,NC_007447.1,1,0,none,NA,,
Bovine viral diarrhea virus 1,Bovine viral diarrhea virus 1,Artiodactyl,NC_001461.1,1,0,none,NA,,
Bovine viral diarrhea virus 2,Bovine viral diarrhea virus 2,Artiodactyl,NC_002032.1,1,0,none,NA,,
Bovine viral diarrhea virus 3,Bovine viral diarrhea virus 3,Artiodactyl,NC_012812.1,1,0,none,Unclassified,,
Brazoran virus,Brazoran virus,Orphan,NC_022039.1; NC_022038.1; NC_022037.1,1,1,mosquito,Unclassified,,
Bubaline alphaherpesvirus 1,NA,Artiodactyl,KU936049.1,1,0,NA,NA,,
Bujaru phlebovirus,NA,Orphan,NC_033830.1; NC_033847.1; NC_033831.1,1,?,unknown,Automatic match,,
Bukalasa bat virus,NA,Vespbat,,,0,NA,Automatic match,,
Bundibugyo ebolavirus,Bundibugyo virus,Orphan,NC_014373.1,1,0,none,NA,,
Bunyamwera orthobunyavirus,Bunyamwera virus,Orphan,NC_001925.1; NC_001926.1; NC_001927.1,1,1,mosquito,NA,,
Burkina Faso astrovirus,Burkina Faso astrovirus,Human,NC_024472.1,1,0,none,Unclassified,,
Bwamba orthobunyavirus,NA,NA,NC_034479.1; NC_034490.1; NC_034480.1,1,1,mosquito,Automatic match,,
Cabassou virus,NA,Orphan,AF075259.1,1,1,mosquito,Automatic match,,
Cacipacore virus,Cacipacore virus,Orphan,NC_026623.1,1,?,unknown,NA,,
Calicivirus isolate TCG,Calicivirus isolate TCG,Artiodactyl,NC_006875.1,1,0,none,Unclassified,,
California encephalitis orthobunyavirus,La Crosse Virus,Rodent,NC_004108.1; NC_004109.1; NC_004110.1,1,1,mosquito,Strain,,
Alethinophid 2 reptarenavirus,Boa arenavirus,Reptile,NC_023762.1; NC_023761.1,1,0,none,Strain,,
Alethinophid 2 reptarenavirus,University of Helsinki virus,Reptile,NC_023765.1; NC_023766.1,1,0,none,Strain,,
Mamastrovirus 4,California sea lion astrovirus 2,Carnivore,NC_034975.1,0,0,none,,,
Callitrichine gammaherpesvirus 3,NA,NonHumanPrimate,NC_004367.1,1,0,NA,NA,,
Camelpox virus,NA,Artiodactyl,NC_003391.1,1,0,NA,Automatic match,,
Candiru phlebovirus,Candiru virus,Orphan,NC_015374.1; NC_015373.1; NC_015375.1,1,1,unknown,NA,,
Canid alphaherpesvirus 1,NA,Carnivore,NC_030117.1,1,0,NA,NA,,
Canine astrovirus,Canine astrovirus,Carnivore,NC_026814.1,1,0,none,Unclassified,,
Canine calicivirus,Canine calicivirus,Carnivore,NC_004542.1,1,0,none,Unclassified,,
Canine mastadenovirus A,NA,Carnivore,AC_000020.1,1,0,NA,NA,,
Canine morbillivirus,Canine distemper virus,Carnivore,NC_001921.1,1,0,none,NA,,
Canine pneumovirus,Canine pneumovirus,Carnivore,NC_025344.1,1,0,none,Unclassified,,
Cano Delgadito orthohantavirus,NA,Rodent,NC_034515.1; NC_034525.1; NC_034528.1,1,0,NA,Automatic match,,
Caprine alphaherpesvirus 1,NA,Artiodactyl,AF078728.2,0,0,NA,NA,,
Caprine arthritis encephalitis virus,NA,Artiodactyl,NC_001463.1,1,0,NA,Automatic match,,
Capsicum chlorosis virus,Capsicum chlorosis virus,Plant,NC_008302.1; NC_008303.1; NC_008301.1,1,1,thrip,Unclassified,,
Caraparu orthobunyavirus,NA,NonHumanPrimate,NC_034489.1; NC_034477.1; NC_034478.1,1,1,mosquito,Automatic match,,
Cardamones virus,Cardamones virus,Rodent,KC669690.1; KC669696.1,1,0,none,Unclassified,,
Cardiovirus A,NA,Rodent,NC_001479.1,1,0,NA,NA,,
Cardiovirus B,NA,Rodent,NC_001366.1,1,0,NA,NA,,
Carey Island virus,NA,Pterobat,,,0,NA,Automatic match,,
Carnivore amdoparvovirus 1,NA,Carnivore,NC_001662.1,1,0,NA,NA,,
Carnivore bocaparvovirus 1,NA,Carnivore,NC_004442.1,1,0,NA,NA,,
Carnivore protoparvovirus 1,NA,Carnivore,NC_001539.1,1,0,NA,NA,,
Carp sprivivirus,Spring viraemia of carp virus,Fish,NC_002803.1,1,0,none,NA,,
Catarina virus,Catarina virus,Rodent,DQ865245.1,0,0,none,Unclassified,,
Catu orthobunyavirus,NA,NA,KP792660.1; KP792659.1; KP792658.1,1,1,mosquito,Automatic match,,
Caviid betaherpesvirus 2,NA,Rodent,NC_020231.1,1,0,NA,NA,,
Cedar henipavirus,Cedar virus,Pterobat,NC_025351.1,1,0,none,NA,,
Cell fusing agent virus,Cell fusing agent virus,Insect,NC_001564.2,1,0,mosquito,Unclassified,,
Cercopithecine alphaherpesvirus 2,NA,NonHumanPrimate,NC_006560.1,1,0,NA,NA,,
Cercopithecine alphaherpesvirus 9,NA,NonHumanPrimate,NC_002686.2,1,0,NA,NA,,
Cercopithecine betaherpesvirus 5,NA,NonHumanPrimate,NC_012783.2,1,0,NA,NA,,
Cercopithecine gammaherpesvirus 14,NA,NonHumanPrimate,,,0,NA,NA,,
Cervid alphaherpesvirus 1,NA,Artiodactyl,MH036942.1,1,0,NA,NA,,
Cervid alphaherpesvirus 2,NA,Artiodactyl,MH036943.1,1,0,NA,NA,,
Cetacean morbillivirus,Dolphin morbillivirus,Cetacean,NC_005283.1,1,0,none,NA,,
Chandipura vesiculovirus,Chandipura virus,Orphan,NC_020805.1,1,1,sandfly,NA,,
Changuinola virus,NA,Pilosa,NC_022639.1; NC_022633.1; NC_022634.1; NC_022640.1; NC_022635.1; NC_022641.1; NC_022636.1; NC_022637.1; NC_022642.1; NC_022638.1,1,1,sandfly,Automatic match,,
Chaoyang virus,Chaoyang virus,Insect,NC_017086.1,1,0,mosquito,Unclassified,,
Chapare mammarenavirus,Chapare virus,Rodent,NC_010563.1; NC_010562.1,1,0,none,NA,,
Chicken calicivirus,Chicken calicivirus,Galliformes,NC_033081.1,1,0,none,Unclassified,wolf2012,
Chicken gallivirus 1,Chicken gallivirus 1,Galliformes,NC_024770.1,1,0,none,Unclassified,woo2014,
Chicken megrivirus,Chicken megrivirus,Galliformes,NC_023857.1,1,0,none,Unclassified,kim2015,
Chicken orivirus 1,Chicken orivirus 1,Orphan,NC_025432.1,1,0,none,Unclassified,boros2014a,
Chicken picornavirus 1,Chicken picornavirus 1,Galliformes,NC_024765.1,1,0,none,Unclassified,woo2014,
Chicken picornavirus 4,Chicken picornavirus 4,Orphan,NC_024768.1,1,0,none,Unclassified,woo2014,
Chicken picornavirus 5,Chicken picornavirus 5,Orphan,NC_024769.1,1,0,none,Unclassified,woo2014,
Chicken proventriculitis virus,Chicken proventriculitis virus,Orphan,KJ690629.1,1,0,none,Unclassified,,
Chicken sicinivirus JSY,Chicken sicinivirus JSY,Orphan,NC_028380.1,1,0,none,Unclassified,zhou2015,
Chikungunya virus,Chikungunya epidemic strain (SE Asia) Human,Human,HM045787.1,1,1,mosquito,NA,,
Chikungunya virus,Chikungunya enzootic strain (WAf) Aedes africanus,NonHumanPrimate,HM045820.1,1,1,mosquito,NA,,
Chobar Gorge virus,NA,Orphan,NC_027553.1; NC_027554.1; NC_027555.1; NC_027556.1; NC_027557.1; NC_027558.1; NC_027559.1; NC_027560.1; NC_027561.1; NC_027562.1,1,1,tick,Automatic match,,
Classical swine fever virus,Classical swine fever virus,Artiodactyl,NC_002657.1,1,0,none,NA,,
Coastal Plains tibrovirus,Coastal Plains virus,Artiodactyl,NC_025397.1,1,1,midge,NA,,
Cocal vesiculovirus,NA,NA,NC_028255.1,1,NA,NA,Automatic match,,
Colorado tick fever virus,NA,Rodent,NC_004181.1; NC_004182.1; NC_004183.1; NC_004184.1; NC_004185.1; NC_004186.1; NC_004187.1; NC_004188.1; NC_004180.1; NC_004189.1; NC_004191.1; NC_004190.1,1,1,tick,Automatic match,,
Common moorhen coronavirus HKU21,Common-moorhen coronavirus HKU21,Orphan,NC_016996.1,1,0,none,NA,woo2012,
Coronavirus HKU15,Porcine coronavirus HKU15,Artiodactyl,NC_016990.2,1,0,none,NA,,
Corriparta virus,NA,NA,KC853042.1; KC853043.1; KC853044.1; KC853045.1; KC853046.1; KC853047.1; KC853048.1; KC853049.1; KC853050.1; KC853051.1,1,1,mosquito,Automatic match,,
Cowbone Ridge virus,NA,Rodent,,,0,NA,Automatic match,,
Cowpox virus,NA,Rodent,NC_003663.2,1,0,NA,Automatic match,,
Crimean-Congo hemorrhagic fever orthonairovirus,Crimean-Congo hemorrhagic fever virus,Orphan,NC_005301.3; NC_005300.2; NC_005302.1,1,1,tick,NA,,
Culex flavivirus,Culex flavivirus,Insect,NC_008604.2,1,0,mosquito,Unclassified,,
Culex tritaeniorhynchus rhabdovirus,Culex tritaeniorhynchus rhabdovirus,Insect,NC_025384.1,1,0,mosquito,Unclassified,,
Cupixi mammarenavirus,Cupixi virus,Rodent,NC_010252.1; NC_010254.1,1,0,none,NA,,
Curionopolis curiovirus,Curionopolis virus,Orphan,NC_025354.1,1,1,midge,NA,,
Dakar bat virus,NA,Vespbat,,,0,NA,Automatic match,,
Dandenong virus,Dandenong virus,Rodent,EU136039.1; EU136038.1,1,0,none,Unclassified,,
Deltapapillomavirus 1,NA,Artiodactyl,NC_001524.1,1,0,NA,NA,,
Deltapapillomavirus 2,NA,Artiodactyl,NC_001523.1,1,0,NA,NA,,
Deltapapillomavirus 3,NA,Artiodactyl,NC_001789.1,1,0,NA,NA,,
Deltapapillomavirus 4,NA,Artiodactyl,NC_001522.1,1,0,NA,NA,,
Dengue virus,Dengue virus 1,Human,NC_001477.1,1,1,mosquito,Merged,,
Dengue virus,Dengue virus 2,Human,NC_001474.2,1,1,mosquito,Merged,Knipe2013,
Dengue virus,Dengue virus 3,Human,NC_001475.2,1,1,mosquito,Merged,Knipe2013,
Dengue virus,Dengue virus 4,Human,NC_002640.1,1,1,mosquito,Merged,Knipe2013,
Dengue virus,Sylvatic type 2 Dengue virus,NonHumanPrimate,EF105378.1,1,1,mosquito,,Knipe2013,
Dera Ghazi Khan orthonairovirus,NA,Orphan,KU925437.1; KU925438.1; KU925439.1,1,1,tick,Automatic match,,
Dhori virus,NA,NA,NC_034261.1; NC_034263.1; NC_034254.1; NC_034255.1; NC_034262.1; NC_034256.1,1,1,tick,Automatic match,,
Dobrava-Belgrade orthohantavirus,Dobrava-Belgrade virus,Rodent,NC_005235.1; NC_005234.1; NC_005233.1,1,0,none,NA,,
Dolphin rhabdovirus,Dolphin rhabdovirus,Cetacean,NC_025406.1,1,0,none,Unclassified,,
Donggang virus,Donggang virus,Insect,NC_016997.1,1,0,mosquito,Unclassified,,
Dromedary astrovirus,Dromedary astrovirus,Artiodactyl,NC_027711.1,1,0,none,Unclassified,,
Drosophila melanogaster sigmavirus,Drosophila melanogaster sigmavirus,Insect,NC_013135.1,1,0,fruit fly,NA,,
Drosophila obscura sigmavirus,Drosophila obscura sigmavirus,Insect,NC_022580.1,1,0,fruit fly,NA,,
Duck megrivirus,Duck megrivirus,Anseriformes,NC_024120.1,1,0,none,Unclassified,liao2014,
